,nazwa,okres,mln_EUR
339,INTAKUS,2014-01,6.2
340,MEDIATEL,2014-01,6.05
341,INVESTCON,2014-01,5.99
342,MIRACULUM,2014-01,5.74
343,PEMUG,2014-01,5.66
344,COMPLEX,2014-01,5.66
345,GLOBALNRG,2014-01,5.38
346,GANT,2014-01,5.28
347,NORTCOAST,2014-01,5.21
348,MOSTALEXP,2014-01,5.13
349,POLCOLORIT,2014-01,5.08
350,IMPERA,2014-01,4.93
351,ENAP,2014-01,4.91
352,IDEON,2014-01,4.86
353,MISPOL,2014-01,4.86
354,ELKOP,2014-01,4.75
355,ERG,2014-01,4.7
356,WILBO,2014-01,4.17
357,BUDVARCEN,2014-01,4.09
358,TRITON,2014-01,4.09
359,MOJ,2014-01,4.04
360,KCI,2014-01,3.87
361,DSS,2014-01,3.78
362,VARIANT,2014-01,3.75
363,ARCUS,2014-01,3.74
364,RUBICON,2014-01,3.7
365,ZREMB,2014-01,3.65
366,SKYLINE,2014-01,3.3
367,IFCAPITAL,2014-01,3.29
368,EUIMPLANT,2014-01,3.24
369,EFEKT,2014-01,3.18
370,EFH,2014-01,3.15
371,INTERBUD,2014-01,2.85
372,SANWIL,2014-01,2.84
373,NOKAUT,2014-01,2.77
374,PROCAD,2014-01,2.68
375,MUZA,2014-01,2.58
376,MEXPOLSKA,2014-01,2.43
377,GREMMEDIA,2014-01,2.21
378,CAMMEDIA,2014-01,2.2
379,TRAVELPL,2014-01,2.2
380,PWRMEDIA,2014-01,2.07
381,DGA,2014-01,2.07
382,PBOANIOLA,2014-01,1.96
383,IZOLACJA,2014-01,1.83
384,DREWEX,2014-01,1.8
385,UNIMA,2014-01,1.74
386,FOTA,2014-01,1.73
387,DRAGOWSKI,2014-01,1.65
388,BUDOPOL,2014-01,1.6
389,GREENECO,2014-01,1.57
390,QUANTUM,2014-01,1.53
391,MEWA,2014-01,1.44
392,CASHFLOW,2014-01,1.39
393,PRIMAMODA,2014-01,1.37
394,ABMSOLID,2014-01,1.29
395,REGNON,2014-01,1.27
396,CALATRAVA,2014-01,1.18
397,SKYSTONE,2014-01,1.04
398,B3SYSTEM,2014-01,1.04
399,ALTERCO,2014-01,1.01
400,ADVADIS,2014-01,0.95
401,AMPLI,2014-01,0.75
402,ONE2ONE,2014-01,0.4
403,ENERGOPLD,2014-01,0.34
404,PKOBP,2014-02,13265.59
405,PEKAO,2014-02,12176.51
406,BZWBK,2014-02,9441.75
407,PZU,2014-02,9152.7
408,PGE,2014-02,8278.69
409,PGNIG,2014-02,7232.83
410,KGHM,2014-02,5619.92
411,MBANK,2014-02,5525.14
412,PKNORLEN,2014-02,4492.79
413,LPP,2014-02,4401.53
414,INGBSK,2014-02,4132.67
415,HANDLOWY,2014-02,3611.81
416,ORANGEPL,2014-02,3189.25
417,MILLENNIUM,2014-02,2650.65
418,GETINOBLE,2014-02,2159.51
419,TAURONPE,2014-02,2030.5
420,ENERGA,2014-02,1751.74
421,SYNTHOS,2014-02,1701.69
422,CYFRPLSAT,2014-02,1695.63
423,ALIOR,2014-02,1633.28
424,ENEA,2014-02,1538.61
425,JSW,2014-02,1453.46
426,GRUPAAZOTY,2014-02,1371.03
427,TVN,2014-02,1336.91
428,EUROCASH,2014-02,1322.91
429,LOTOS,2014-02,1278.69
430,CCC,2014-02,1213.79
431,ZYWIEC,2014-02,1075.23
432,BANKBPH,2014-02,1050.45
433,BOGDANKA,2014-02,1036.71
434,ASSECOPOL,2014-02,986.78
435,PKPCARGO,2014-02,953.18
436,BGZ,2014-02,885.02
437,BUDIMEX,2014-02,785.5
438,INTERCARS,2014-02,715.18
439,GETIN,2014-02,703.08
440,PULAWY,2014-02,680.94
441,BNPPL,2014-02,641.42
442,NORDEABP,2014-02,629.27
443,ECHO,2014-02,610.08
444,GTC,2014-02,565.79
445,FAMUR,2014-02,535.88
446,INTEGERPL,2014-02,525.24
447,WAWEL,2014-02,501.89
448,ORBIS,2014-02,471.82
449,AMREST,2014-02,469.13
450,KETY,2014-02,455.88
451,CIECH,2014-02,427.53
452,NETIA,2014-02,409.78
453,NFIEMF,2014-02,406.43
454,CDPROJEKT,2014-02,399.41
455,GPW,2014-02,391.95
456,KRUSZWICA,2014-02,378.16
457,ROVESE,2014-02,360.84
458,POLICE,2014-02,347.04
459,GRAJEWO,2014-02,344.49
460,KRUK,2014-02,337.62
461,FARMACOL,2014-02,334.67
462,DEBICA,2014-02,330.09
463,DOMDEV,2014-02,324.28
464,STALPROD,2014-02,323.3
465,APATOR,2014-02,323.1
466,PHN,2014-02,319.67
467,NEUCA,2014-02,314.76
468,ZEPAK,2014-02,305.54
469,BORYSZEW,2014-02,296.14
470,SANOK,2014-02,294.65
471,FORTE,2014-02,264.33
472,PELION,2014-02,263.43
473,ALCHEMIA,2014-02,263.22
474,EMPERIA,2014-02,261.16
475,BOS,2014-02,260.17
476,KOPEX,2014-02,250.15
477,MIDAS,2014-02,248.97
478,KOGENERA,2014-02,248.92
479,MEDICALG,2014-02,246.76
480,KOFOLA,2014-02,220.74
481,NEWAG,2014-02,210.71
482,WORKSERV,2014-02,208.8
483,CZTOREBKA,2014-02,206.49
484,PCCEXOL,2014-02,205.23
485,AMICA,2014-02,203.72
486,OPENFIN,2014-02,195.73
487,LCCORP,2014-02,191.49
488,BENEFIT,2014-02,190.63
489,ACTION,2014-02,187.65
490,MENNICA,2014-02,171.69
491,KREZUS,2014-02,169.89
492,IMPEXMET,2014-02,168.74
493,COMARCH,2014-02,159.67
494,ROBYG,2014-02,159.39
495,STALEXP,2014-02,157.5
496,QUERCUS,2014-02,149.77
497,PAGED,2014-02,149.59
498,MCI,2014-02,149.35
499,SELENAFM,2014-02,144.85
500,TRAKCJA,2014-02,140.35
501,ELBUDOWA,2014-02,138.14
502,ZPUE,2014-02,138.01
503,AGORA,2014-02,135.91
504,SNIEZKA,2014-02,135.51
505,SKOK,2014-02,133.11
506,COLIAN,2014-02,131.29
507,MAGELLAN,2014-02,129.93
508,PGODLEW,2014-02,128.24
509,ABCDATA,2014-02,127.66
510,EKOEXPORT,2014-02,125.39
511,ULMA,2014-02,124.94
512,PEP,2014-02,124.75
513,ABPL,2014-02,124.13
514,LENTEX,2014-02,120.88
515,SECOGROUP,2014-02,120.79
516,MABION,2014-02,120.34
517,MLPGROUP,2014-02,119.73
518,ZAMET,2014-02,117.59
519,ASSECOSEE,2014-02,112.27
520,KINOPOL,2014-02,105.77
521,ATM,2014-02,104.05
522,ELEMENTAL,2014-02,103.83
523,ACAUTOGAZ,2014-02,101.06
524,RAFAKO,2014-02,100.38
525,ZETKAMA,2014-02,97.61
526,WIELTON,2014-02,96.65
527,ASSECOBS,2014-02,96.15
528,OTLOG,2014-02,94.37
529,TOYA,2014-02,93.88
530,ERBUD,2014-02,92.79
531,STALPROFI,2014-02,92.54
532,IMPEL,2014-02,92.46
533,COMP,2014-02,89.76
534,GROCLIN,2014-02,89.56
535,KANIA,2014-02,89.37
536,BIOTON,2014-02,88.34
537,RADPOL,2014-02,88.16
538,HAWE,2014-02,88.16
539,RAWLPLUG,2014-02,83.74
540,VISTULA,2014-02,81.49
541,PEKAES,2014-02,81.07
542,MOSTALZAB,2014-02,80.3
543,POLNORD,2014-02,74.91
544,BARLINEK,2014-02,74.5
545,MERCOR,2014-02,74.15
546,KREDYTIN,2014-02,73.7
547,CORMAY,2014-02,71.0
548,UNIBEP,2014-02,69.97
549,HARPER,2014-02,68.87
550,ATMGRUPA,2014-02,67.48
551,MARVIPOL,2014-02,66.92
552,INPRO,2014-02,66.89
553,ENERGOINS,2014-02,65.81
554,RAINBOW,2014-02,64.36
555,ENELMED,2014-02,63.73
556,FERRO,2014-02,63.29
557,PTI,2014-02,60.92
558,MONNARI,2014-02,60.54
559,VISTAL,2014-02,59.33
560,IZOSTAL,2014-02,59.03
561,BSCDRUK,2014-02,58.82
562,FEERUM,2014-02,58.46
563,APLISENS,2014-02,57.76
564,SMT,2014-02,57.08
565,INTROL,2014-02,56.99
566,VANTAGE,2014-02,56.58
567,SYGNITY,2014-02,55.43
568,WASKO,2014-02,55.24
569,AMBRA,2014-02,54.53
570,RANKPROGR,2014-02,53.63
571,DUDA,2014-02,53.46
572,ZUE,2014-02,50.82
573,ORZBIALY,2014-02,50.63
574,WINVEST,2014-02,50.56
575,IPOPEMA,2014-02,49.65
576,JWCONSTR,2014-02,49.39
577,ALMA,2014-02,48.39
578,BBIDEV,2014-02,47.78
579,PANOVA,2014-02,44.76
580,LUBAWA,2014-02,43.6
581,MIESZKO,2014-02,43.32
582,PCCINTER,2014-02,43.26
583,FERRUM,2014-02,43.07
584,MWTRADE,2014-02,42.52
585,DUON,2014-02,42.37
586,BEST,2014-02,42.19
587,ARCTIC,2014-02,41.14
588,LIBET,2014-02,40.86
589,KONSSTALI,2014-02,40.81
590,MNI,2014-02,39.96
591,TIM,2014-02,39.81
592,POLIMEXMS,2014-02,38.8
593,TARCZYNSKI,2014-02,38.73
594,HUTMEN,2014-02,38.15
595,BERLING,2014-02,37.46
596,QUMAK,2014-02,37.41
597,VOXEL,2014-02,37.36
598,ERGIS,2014-02,37.35
599,GINOROSSI,2014-02,37.08
600,OPONEO.PL,2014-02,36.18
601,ESSYSTEM,2014-02,36.06
602,POZBUD,2014-02,36.04
603,SONEL,2014-02,35.33
604,PPG,2014-02,35.26
605,GRAAL,2014-02,34.92
606,INSTALKRK,2014-02,34.85
607,HYGIENIKA,2014-02,34.75
608,BLACKLION,2014-02,34.13
609,MOSTALWAR,2014-02,33.89
610,ATENDE,2014-02,33.63
611,EMCINSMED,2014-02,33.35
612,CIGAMES,2014-02,32.95
613,ARMATURA,2014-02,32.71
614,DECORA,2014-02,32.58
615,CCENERGY,2014-02,32.11
616,KREC,2014-02,31.35
617,MIRBUD,2014-02,31.19
618,MERCATOR,2014-02,29.98
619,PRESCO,2014-02,29.45
620,LENA,2014-02,29.3
621,PLASTBOX,2014-02,29.02
622,COGNOR,2014-02,28.81
623,OTMUCHOW,2014-02,28.74
624,SKOTAN,2014-02,28.56
625,ROPCZYCE,2014-02,28.23
626,ELEKTROTI,2014-02,27.48
627,PROCHNIK,2014-02,26.89
628,HERKULES,2014-02,26.4
629,SOLAR,2014-02,26.32
630,INDYKPOL,2014-02,25.83
631,MAKRUM,2014-02,25.75
632,STAPORKOW,2014-02,24.9
633,BYTOM,2014-02,24.83
634,ELZAB,2014-02,24.83
635,PROCHEM,2014-02,24.7
636,FON,2014-02,24.23
637,MIT,2014-02,24.18
638,NOWAGALA,2014-02,24.01
639,EUCO,2014-02,22.53
640,ARTERIA,2014-02,21.37
641,KOMPUTRON,2014-02,21.28
642,CELTIC,2014-02,21.21
643,WIKANA,2014-02,20.96
644,HYDROTOR,2014-02,20.55
645,POLMED,2014-02,20.17
646,RELPOL,2014-02,19.98
647,WOJAS,2014-02,19.74
648,OPTEAM,2014-02,19.29
649,4FUNMEDIA,2014-02,19.05
650,BALTONA,2014-02,18.89
651,GLCOSMED,2014-02,18.88
652,MFO,2014-02,18.84
653,PETROLINV,2014-02,18.61
654,NOVITA,2014-02,18.21
655,VINDEXUS,2014-02,18.08
656,MCLOGIC,2014-02,17.94
657,ATREM,2014-02,17.08
658,JHMDEV,2014-02,16.83
659,VOTUM,2014-02,16.82
660,SUWARY,2014-02,16.64
661,PATENTUS,2014-02,16.45
662,INTERFERI,2014-02,16.42
663,BOWIM,2014-02,16.32
664,PROJPRZEM,2014-02,16.3
665,RAFAMET,2014-02,16.3
666,URSUS,2014-02,15.61
667,TELL,2014-02,15.53
668,BEDZIN,2014-02,15.5
669,IDMSA,2014-02,15.26
670,EUROTEL,2014-02,15.09
671,REDAN,2014-02,15.09
672,FASING,2014-02,14.71
673,IVMX,2014-02,14.7
674,KRAKCHEM,2014-02,14.69
675,ALTA,2014-02,14.66
676,PROTEKTOR,2014-02,14.31
677,PRAGMAINK,2014-02,14.25
678,PAMAPOL,2014-02,13.92
679,INDYGO,2014-02,13.63
680,PCGUARD,2014-02,13.57
681,ZASTAL,2014-02,13.56
682,CNT,2014-02,13.22
683,ODLEWNIE,2014-02,13.06
684,SEKO,2014-02,12.95
685,AWBUD,2014-02,12.88
686,JUPITER,2014-02,12.87
687,ATLANTIS,2014-02,12.72
688,TESGAS,2014-02,12.39
689,DELKO,2014-02,12.33
690,ATLANTAPL,2014-02,12.21
691,FASTFIN,2014-02,12.02
692,MEGARON,2014-02,11.98
693,KBDOM,2014-02,11.93
694,CAPITAL,2014-02,11.87
695,TRANSPOL,2014-02,11.81
696,POINTGROUP,2014-02,11.48
697,HELIO,2014-02,11.11
698,CHEMOS,2014-02,11.06
699,SFINKS,2014-02,11.0
700,HYPERION,2014-02,10.64
701,PEPEES,2014-02,10.57
702,PRAGMAFA,2014-02,10.45
703,TALEX,2014-02,10.38
704,SCOPAK,2014-02,9.9
705,BAKALLAND,2014-02,9.86
706,WADEX,2014-02,9.82
707,NTTSYSTEM,2014-02,9.72
708,BUMECH,2014-02,9.67
709,NETMEDIA,2014-02,9.64
710,DMWDM,2014-02,9.52
711,KPPD,2014-02,9.5
712,WISTIL,2014-02,9.49
713,SIMPLE,2014-02,9.42
714,PBSFINANSE,2014-02,9.4
715,MOSTALEXP,2014-02,9.15
716,EDINVEST,2014-02,9.13
717,MAKARONPL,2014-02,8.78
718,YAWAL,2014-02,8.74
719,TERESA,2014-02,8.68
720,MOSTALPLC,2014-02,8.67
721,DROP,2014-02,8.56
722,REMAK,2014-02,8.55
723,MOBRUK,2014-02,8.44
724,08OCTAVA,2014-02,8.33
725,TFONE,2014-02,8.22
726,POLNA,2014-02,8.17
727,BIPROMET,2014-02,7.88
728,SWISSMED,2014-02,7.8
729,WANDALEX,2014-02,7.78
730,PBG,2014-02,7.73
731,INVISTA,2014-02,7.72
732,INTERSPPL,2014-02,7.57
733,LSISOFT,2014-02,7.55
734,BETACOM,2014-02,7.5
735,06MAGNA,2014-02,7.36
736,EKANCELAR,2014-02,7.32
737,IQP,2014-02,7.25
738,DROZAPOL,2014-02,7.21
739,FAM,2014-02,7.2
740,ECARD,2014-02,7.08
741,KOMPAP,2014-02,7.06
742,GLOBALNRG,2014-02,7.01
743,INVESTCON,2014-02,6.74
744,INTAKUS,2014-02,6.33
745,RESBUD,2014-02,6.23
746,K2INTERNT,2014-02,6.21
747,MEDIATEL,2014-02,6.08
748,COMPLEX,2014-02,6.07
749,TRITON,2014-02,5.93
750,MIRACULUM,2014-02,5.85
751,IDEATFI,2014-02,5.56
752,GANT,2014-02,5.31
753,ENAP,2014-02,5.29
754,PEMUG,2014-02,5.26
755,IMPERA,2014-02,5.02
756,ARCUS,2014-02,5.01
757,NORTCOAST,2014-02,4.92
758,ERG,2014-02,4.89
759,ELKOP,2014-02,4.84
760,POLCOLORIT,2014-02,4.74
761,MOJ,2014-02,4.68
762,KCI,2014-02,4.37
763,INTERBUD,2014-02,4.23
764,VARIANT,2014-02,4.08
765,SKYLINE,2014-02,4.06
766,MEXPOLSKA,2014-02,4.03
767,SANWIL,2014-02,3.98
768,BUDVARCEN,2014-02,3.93
769,ZREMB,2014-02,3.9
770,DSS,2014-02,3.82
771,EFEKT,2014-02,3.75
772,WILBO,2014-02,3.63
773,EFH,2014-02,3.56
774,RUBICON,2014-02,3.49
775,FOTA,2014-02,3.35
776,IDEON,2014-02,3.3
777,EUIMPLANT,2014-02,3.3
778,MEWA,2014-02,3.13
779,NOKAUT,2014-02,3.07
780,CASHFLOW,2014-02,2.83
781,IFCAPITAL,2014-02,2.81
782,DRAGOWSKI,2014-02,2.7
783,PROCAD,2014-02,2.69
784,CAMMEDIA,2014-02,2.68
785,MUZA,2014-02,2.55
786,BUDOPOL,2014-02,2.5
787,GREMMEDIA,2014-02,2.43
788,CALATRAVA,2014-02,2.4
789,TRAVELPL,2014-02,2.37
790,B3SYSTEM,2014-02,2.35
791,PWRMEDIA,2014-02,2.29
