,nazwa,okres,mln_EUR
0,PKOBP,2014-01,12037.39
1,PEKAO,2014-01,11470.06
2,BZWBK,2014-01,8721.28
3,PZU,2014-01,8407.36
4,PGE,2014-01,7281.69
5,PGNIG,2014-01,6447.55
6,KGHM,2014-01,5169.0
7,MBANK,2014-01,5076.83
8,PKNORLEN,2014-01,3915.89
9,LPP,2014-01,3803.31
10,INGBSK,2014-01,3669.5
11,ORANGEPL,2014-01,3252.4
12,HANDLOWY,2014-01,3182.61
13,MILLENNIUM,2014-01,2324.99
14,GETINOBLE,2014-01,1945.32
15,TAURONPE,2014-01,1770.42
16,CYFRPLSAT,2014-01,1619.75
17,SYNTHOS,2014-01,1583.48
18,ENERGA,2014-01,1573.47
19,ALIOR,2014-01,1452.71
20,EUROCASH,2014-01,1339.84
21,ENEA,2014-01,1305.53
22,JSW,2014-01,1280.31
23,TVN,2014-01,1269.61
24,GRUPAAZOTY,2014-01,1229.17
25,LOTOS,2014-01,1082.69
26,CCC,2014-01,1078.55
27,ZYWIEC,2014-01,1055.79
28,BANKBPH,2014-01,1013.0
29,BOGDANKA,2014-01,1003.52
30,PKPCARGO,2014-01,924.39
31,ASSECOPOL,2014-01,901.94
32,BGZ,2014-01,891.95
33,BUDIMEX,2014-01,812.28
34,GETIN,2014-01,698.99
35,INTERCARS,2014-01,682.19
36,PULAWY,2014-01,645.17
37,ECHO,2014-01,618.53
38,NORDEABP,2014-01,615.66
39,BNPPL,2014-01,568.88
40,FAMUR,2014-01,567.1
41,GTC,2014-01,558.57
42,KETY,2014-01,473.58
43,INTEGERPL,2014-01,467.39
44,WAWEL,2014-01,453.08
45,AMREST,2014-01,441.62
46,ORBIS,2014-01,426.21
47,NFIEMF,2014-01,416.54
48,CDPROJEKT,2014-01,411.01
49,NETIA,2014-01,399.91
50,ROVESE,2014-01,398.37
51,GPW,2014-01,388.34
52,CIECH,2014-01,385.6
53,KRUSZWICA,2014-01,355.1
54,KRUK,2014-01,329.83
55,DOMDEV,2014-01,327.18
56,APATOR,2014-01,326.94
57,FARMACOL,2014-01,325.86
58,DEBICA,2014-01,322.2
59,GRAJEWO,2014-01,313.31
60,POLICE,2014-01,308.02
61,STALPROD,2014-01,307.93
62,NEUCA,2014-01,296.19
63,SANOK,2014-01,282.98
64,ZEPAK,2014-01,278.78
65,BORYSZEW,2014-01,275.21
66,PHN,2014-01,273.38
67,ALCHEMIA,2014-01,256.5
68,EMPERIA,2014-01,253.3
69,BOS,2014-01,245.32
70,MIDAS,2014-01,244.47
71,PELION,2014-01,238.46
72,FORTE,2014-01,238.25
73,KOPEX,2014-01,234.75
74,KOGENERA,2014-01,230.24
75,NEWAG,2014-01,229.42
76,OPENFIN,2014-01,219.39
77,KOFOLA,2014-01,216.19
78,AMICA,2014-01,207.38
79,CZTOREBKA,2014-01,200.99
80,KREZUS,2014-01,199.74
81,PCCEXOL,2014-01,195.41
82,ACTION,2014-01,194.06
83,MENNICA,2014-01,192.07
84,BENEFIT,2014-01,188.1
85,WORKSERV,2014-01,172.62
86,LCCORP,2014-01,171.13
87,COMARCH,2014-01,159.8
88,IMPEXMET,2014-01,157.19
89,ROBYG,2014-01,149.7
90,STALEXP,2014-01,145.9
91,MCI,2014-01,142.97
92,SELENAFM,2014-01,142.77
93,ZPUE,2014-01,142.09
94,ELBUDOWA,2014-01,139.85
95,SNIEZKA,2014-01,138.48
96,COLIAN,2014-01,137.71
97,QUERCUS,2014-01,137.51
98,PAGED,2014-01,136.96
99,ABPL,2014-01,129.9
100,SKOK,2014-01,127.08
101,MAGELLAN,2014-01,126.84
102,TRAKCJA,2014-01,125.2
103,PEP,2014-01,123.25
104,PGODLEW,2014-01,122.74
105,ULMA,2014-01,121.57
106,LENTEX,2014-01,120.63
107,ABCDATA,2014-01,119.73
108,MLPGROUP,2014-01,119.71
109,SECOGROUP,2014-01,119.54
110,AGORA,2014-01,118.42
111,ZAMET,2014-01,114.33
112,ASSECOSEE,2014-01,113.3
113,WIELTON,2014-01,105.59
114,EKOEXPORT,2014-01,105.07
115,RAFAKO,2014-01,104.31
116,ATM,2014-01,100.11
117,OTLOG,2014-01,99.39
118,ERBUD,2014-01,99.0
119,ACAUTOGAZ,2014-01,98.94
120,STALPROFI,2014-01,96.86
121,KANIA,2014-01,96.32
122,TOYA,2014-01,96.1
123,GROCLIN,2014-01,94.82
124,IMPEL,2014-01,94.1
125,ASSECOBS,2014-01,93.86
126,KINOPOL,2014-01,87.43
127,MABION,2014-01,87.11
128,HAWE,2014-01,85.55
129,COMP,2014-01,85.33
130,RAWLPLUG,2014-01,84.54
131,ZETKAMA,2014-01,84.5
132,ELEMENTAL,2014-01,79.05
133,RADPOL,2014-01,77.7
134,VISTULA,2014-01,76.74
135,BIOTON,2014-01,75.8
136,MOSTALZAB,2014-01,75.33
137,POLNORD,2014-01,74.71
138,MERCOR,2014-01,73.84
139,BARLINEK,2014-01,73.15
140,UNIBEP,2014-01,70.44
141,KREDYTIN,2014-01,69.31
142,PEKAES,2014-01,68.44
143,ENERGOINS,2014-01,67.55
144,AMBRA,2014-01,63.96
145,ATMGRUPA,2014-01,63.67
146,HARPER,2014-01,63.27
147,PTI,2014-01,62.97
148,FERRO,2014-01,61.55
149,BSCDRUK,2014-01,60.88
150,INPRO,2014-01,58.97
151,SMT,2014-01,58.59
152,FEERUM,2014-01,58.08
153,CORMAY,2014-01,57.91
154,APLISENS,2014-01,57.7
155,SYGNITY,2014-01,56.53
156,ORZBIALY,2014-01,55.77
157,DUDA,2014-01,55.12
158,ENELMED,2014-01,55.07
159,RANKPROGR,2014-01,55.03
160,MARVIPOL,2014-01,53.94
161,ZUE,2014-01,53.81
162,WASKO,2014-01,53.81
163,IZOSTAL,2014-01,53.33
164,RAINBOW,2014-01,52.76
165,IPOPEMA,2014-01,52.22
166,INTROL,2014-01,51.18
167,MONNARI,2014-01,50.86
168,WINVEST,2014-01,49.65
169,VANTAGE,2014-01,48.19
170,VISTAL,2014-01,47.96
171,ALMA,2014-01,47.12
172,JWCONSTR,2014-01,46.46
173,BBIDEV,2014-01,45.68
174,POLIMEXMS,2014-01,45.02
175,PANOVA,2014-01,43.74
176,CIGAMES,2014-01,41.88
177,FERRUM,2014-01,41.71
178,BEST,2014-01,41.35
179,KONSSTALI,2014-01,40.06
180,MIESZKO,2014-01,39.55
181,LUBAWA,2014-01,39.2
182,MWTRADE,2014-01,38.79
183,LIBET,2014-01,38.24
184,ERGIS,2014-01,38.16
185,ESSYSTEM,2014-01,38.14
186,MNI,2014-01,38.07
187,PPG,2014-01,37.92
188,VOXEL,2014-01,37.8
189,TARCZYNSKI,2014-01,37.71
190,SONEL,2014-01,36.78
191,DUON,2014-01,36.76
192,TIM,2014-01,36.62
193,ARCTIC,2014-01,36.31
194,QUMAK,2014-01,35.58
195,GINOROSSI,2014-01,34.83
196,POZBUD,2014-01,34.76
197,EMCINSMED,2014-01,33.61
198,HYGIENIKA,2014-01,33.3
199,ATENDE,2014-01,32.68
200,BERLING,2014-01,32.47
201,INSTALKRK,2014-01,32.4
202,ARMATURA,2014-01,32.12
203,DECORA,2014-01,31.8
204,CCENERGY,2014-01,31.53
205,HUTMEN,2014-01,31.05
206,MERCATOR,2014-01,30.5
207,SKOTAN,2014-01,29.95
208,BLACKLION,2014-01,29.82
209,OPONEO.PL,2014-01,29.67
210,GRAAL,2014-01,29.28
211,PLASTBOX,2014-01,28.91
212,KREC,2014-01,28.35
213,ROPCZYCE,2014-01,28.27
214,STAPORKOW,2014-01,28.27
215,PRESCO,2014-01,28.13
216,OTMUCHOW,2014-01,27.65
217,PROCHNIK,2014-01,27.14
218,HERKULES,2014-01,26.54
219,PROCHEM,2014-01,26.2
220,INDYKPOL,2014-01,26.18
221,MAKRUM,2014-01,25.8
222,LENA,2014-01,25.77
223,PCCINTER,2014-01,25.63
224,MOSTALWAR,2014-01,24.97
225,SOLAR,2014-01,24.78
226,MIRBUD,2014-01,24.61
227,NOWAGALA,2014-01,23.84
228,FON,2014-01,23.79
229,MIT,2014-01,23.74
230,COGNOR,2014-01,23.44
231,ARTERIA,2014-01,23.16
232,ELZAB,2014-01,22.47
233,BYTOM,2014-01,22.03
234,ELEKTROTI,2014-01,21.98
235,INDYGO,2014-01,20.81
236,GLCOSMED,2014-01,20.72
237,HYDROTOR,2014-01,20.26
238,RELPOL,2014-01,19.98
239,WOJAS,2014-01,19.93
240,KOMPUTRON,2014-01,19.52
241,CELTIC,2014-01,19.51
242,PETROLINV,2014-01,19.42
243,POLMED,2014-01,19.14
244,ATREM,2014-01,18.84
245,4FUNMEDIA,2014-01,18.7
246,MFO,2014-01,18.66
247,VOTUM,2014-01,18.44
248,MCLOGIC,2014-01,17.83
249,EUCO,2014-01,17.63
250,WIKANA,2014-01,17.41
251,NOVITA,2014-01,17.41
252,BALTONA,2014-01,17.0
253,RAFAMET,2014-01,16.82
254,URSUS,2014-01,16.62
255,IDMSA,2014-01,16.48
256,INTERFERI,2014-01,16.29
257,SUWARY,2014-01,16.12
258,PATENTUS,2014-01,16.09
259,BOWIM,2014-01,15.84
260,IVMX,2014-01,15.75
261,BEDZIN,2014-01,15.61
262,OPTEAM,2014-01,15.49
263,JHMDEV,2014-01,15.05
264,PCGUARD,2014-01,14.85
265,PRAGMAINK,2014-01,14.62
266,PAMAPOL,2014-01,14.6
267,KRAKCHEM,2014-01,14.55
268,ALTA,2014-01,14.43
269,PROJPRZEM,2014-01,14.2
270,KBDOM,2014-01,14.06
271,REDAN,2014-01,13.86
272,TELL,2014-01,13.8
273,FASING,2014-01,13.51
274,PROTEKTOR,2014-01,13.47
275,JUPITER,2014-01,13.34
276,TESGAS,2014-01,13.26
277,VINDEXUS,2014-01,12.89
278,ODLEWNIE,2014-01,12.73
279,EUROTEL,2014-01,12.64
280,CNT,2014-01,12.51
281,ATLANTIS,2014-01,12.49
282,AWBUD,2014-01,12.26
283,SEKO,2014-01,12.24
284,MEGARON,2014-01,11.76
285,ZASTAL,2014-01,11.66
286,DELKO,2014-01,11.32
287,BAKALLAND,2014-01,11.31
288,WADEX,2014-01,10.93
289,SFINKS,2014-01,10.73
290,REMAK,2014-01,10.55
291,PRAGMAFA,2014-01,10.4
292,TRANSPOL,2014-01,10.39
293,HELIO,2014-01,10.34
294,HYPERION,2014-01,10.32
295,CAPITAL,2014-01,10.21
296,SCOPAK,2014-01,10.06
297,FASTFIN,2014-01,9.91
298,PEPEES,2014-01,9.8
299,NETMEDIA,2014-01,9.63
300,ATLANTAPL,2014-01,9.6
301,KPPD,2014-01,9.5
302,TALEX,2014-01,9.44
303,EDINVEST,2014-01,9.42
304,DROP,2014-01,9.22
305,POINTGROUP,2014-01,9.07
306,CHEMOS,2014-01,8.97
307,DMWDM,2014-01,8.96
308,MOBRUK,2014-01,8.95
309,NTTSYSTEM,2014-01,8.76
310,PBSFINANSE,2014-01,8.63
311,MAKARONPL,2014-01,8.52
312,SIMPLE,2014-01,8.49
313,YAWAL,2014-01,8.46
314,08OCTAVA,2014-01,8.38
315,EKANCELAR,2014-01,8.38
316,TERESA,2014-01,8.04
317,TFONE,2014-01,7.97
318,WISTIL,2014-01,7.79
319,BUMECH,2014-01,7.78
320,INTERSPPL,2014-01,7.73
321,BIPROMET,2014-01,7.7
322,POLNA,2014-01,7.61
323,IQP,2014-01,7.6
324,INVISTA,2014-01,7.58
325,FAM,2014-01,7.52
326,DROZAPOL,2014-01,7.51
327,06MAGNA,2014-01,7.23
328,KOMPAP,2014-01,7.05
329,RESBUD,2014-01,7.01
330,LSISOFT,2014-01,7.0
331,WANDALEX,2014-01,6.83
332,PBG,2014-01,6.82
333,MOSTALPLC,2014-01,6.8
334,SWISSMED,2014-01,6.79
335,K2INTERNT,2014-01,6.43
336,IDEATFI,2014-01,6.43
337,ECARD,2014-01,6.36
338,BETACOM,2014-01,6.34
