,Akcje,C/WK,C/Z,Kapitalizacja na koniec miesiąca (mln),Kapitalizacja na koniec okresu (mln),Stopa,Unnamed: 5,Wartość,Wielkość,okres
65,63 AGROS,"0,40",x,,"109 27 0,10",---,,"273,64","11,00",2002-08
66,64 14ZACH,"0,66","14,9",,"105 26 0,10",---,,"158,79","30,06",2002-08
67,65 ABG,"1,45","262,3",,"101 25 0,10",---,,"69,35","11,32",2002-08
68,66 KROSNO,"0,82","105,0",,"97 24 0,09","2,6",,"117,19","2,53",2002-08
69,67 ELDORADO,"1,54","14,1",,"95 23 0,09",---,,"61,59","6,64",2002-08
70,68 MOSTALWAR,"0,70","32,0",,"94 23 0,09",---,,"133,80","10,00",2002-08
71,69 04PRO,"0,63",x,,"92 22 0,09",---,,"146,25","30,06",2002-08
72,70 NETIA,x,x,,"85 21 0,08",---,,"-216,69","31,42",2002-08
73,71 01NFI,"0,45","6,0",,"84 21 0,08",---,,"185,93","30,06",2002-08
74,72 RAFAKO,"0,63","3,8",,"83 20 0,08",---,,"132,72","17,40",2002-08
75,73 POLAR,"1,20",x,,"83 20 0,08",---,,"68,95","14,30",2002-08
76,74 TRASINTUR,"3,29","61,2",,"82 20 0,08",---,,"24,98","2,42",2002-08
77,75 POLIGR,"1,19",x,,"79 19 0,08",---,,"66,73","5,30",2002-08
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-09
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-09
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-09
3,1 TPSA,"1,27","235,7",,"16 310 3 999 16,26",---,,"12 868,81","1 400,00",2002-09
4,2 PEKAO,"2,18","15,7",,"13 973 3 426 13,93","4,5",,"6 409,59","165,75",2002-09
5,3 HANDLOWY,"1,45","52,3",,"8 503 2 085 8,48","1,8",,"5 864,08","125,23",2002-09
6,4 PKNORLEN,"0,97","29,2",,"6 807 1 669 6,79","0,7",,"7 034,26","420,18",2002-09
7,5 BANKBPH,"1,22","19,4",,"6 088 1 493 6,07","1,8",,"4 977,55","28,72",2002-09
8,6 INGBSK,"1,83","45,9",,"4 944 1 212 4,93","0,4",,"2 703,56","13,01",2002-09
9,7 BZWBK,"2,00","32,0",,"4 845 1 188 4,83","0,6",,"2 416,48","72,96",2002-09
10,8 ZYWIEC,"1,25","102,0",,"3 786 928 3,78",---,,"3 034,84","11,34",2002-09
11,9 AGORA,"2,82","36,5",,"2 883 707 2,88",---,,"1 023,72","56,76",2002-09
12,10 MILLENNIUM,"1,68","17,5",,"2 539 623 2,53",---,,"1 510,89","849,18",2002-09
13,11 KREDYTB,"1,19",x,,"2 485 609 2,48","1,2",,"2 092,10","147,90",2002-09
14,12 KGHM,"0,59",x,,"2 250 552 2,24",---,,"3 834,75","200,00",2002-09
15,13 BRE,"0,91","27,8",,"1 746 428 1,74","13,2",,"1 918,50","22,97",2002-09
16,14 SWIECIE,"2,27","12,2",,"1 530 375 1,53","5,5",,"674,39","50,00",2002-09
17,15 PROKOM,"2,00","11,1",,"1 264 310 1,26",---,,"633,15","13,46",2002-09
18,16 EFL,"1,60","28,4",,"1 215 298 1,21",---,,"758,71","44,68",2002-09
19,17 WARTA,"1,28","15,0",,"971 238 0,97","1,8",,"759,34","8,13",2002-09
20,18 STOMIL,"1,46","10,9",,"915 224 0,91",---,,"626,73","27,22",2002-09
21,19 ORBIS,"0,58","20,9",,"802 197 0,80","2,3",,"1 371,69","46,08",2002-09
22,20 BUDIMEX,"1,15","221,7",,"641 157 0,64",---,,"555,52","25,53",2002-09
23,21 DZPOLSKA,"3,10",x,,"636 156 0,63",---,,"204,78","41,00",2002-09
24,22 COMPLAND,"3,64","18,2",,"626 154 0,62",---,,"171,91","6,73",2002-09
25,23 DEBICA,"0,95","13,7",,"552 135 0,55","0,8",,"583,38","13,80",2002-09
26,24 KABLEHOLD,"0,77",x,,"491 121 0,49",---,,"635,94","119,57",2002-09
27,25 BOS,"0,87",x,,"488 120 0,49",---,,"563,27","13,20",2002-09
28,26 CERSANIT,"3,77","105,5",,"486 119 0,48",---,,"129,13","11,63",2002-09
29,27 LGPETRO,"1,67",x,,"458 112 0,46",---,,"274,38","22,26",2002-09
30,28 KETY,"1,35","120,2",,"437 107 0,44","2,4",,"323,38","10,50",2002-09
31,29 OKOCIM,"1,13",x,,"395 97 0,39",---,,"349,27","28,72",2002-09
32,30 FORTISPL,"0,73","13,1",,"369 91 0,37",---,,"509,28","15,08",2002-09
33,31 PGF,"1,55","25,2",,"352 86 0,35",---,,"227,16","12,24",2002-09
34,32 DBPBC,"1,89","60,5",,"346 85 0,35",---,,"183,60","336,27",2002-09
35,33 AMICA,"1,71","19,8",,"315 77 0,31",---,,"184,09","8,74",2002-09
36,34 08OCTAVA,"1,34",x,,"314 77 0,31",---,,"234,93","30,06",2002-09
37,35 GRAJEWO,"1,22","9,6",,"289 71 0,29",---,,"236,46","5,16",2002-09
38,36 JELFA,"0,81","11,4",,"279 68 0,28","5,4",,"343,02","6,80",2002-09
39,37 FORTWRO,"0,65","11,1",,"273 67 0,27",---,,"419,32","50,60",2002-09
40,38 POLIFARBC,"0,75","34,3",,"263 65 0,26",---,,"348,52","45,36",2002-09
41,39 POLFKUTNO,"2,00","11,3",,"246 60 0,25",---,,"123,32","1,92",2002-09
42,40 MITEX,"1,67","8,6",,"228 56 0,23",---,,"136,17","20,52",2002-09
43,41 NFIEMF,"1,15",x,,"225 55 0,22",---,,"195,95","30,06",2002-09
44,42 09KWIAT,"0,90",x,,"221 54 0,22","2,4",,"246,50","30,06",2002-09
45,43 SOKOLOW,"0,79",x,,"220 54 0,22",---,,"280,42","100,19",2002-09
46,44 JUPITER,"0,64",x,,"219 54 0,22",---,,"341,96","60,11",2002-09
47,45 GROCLIN,"2,15","10,1",,"210 51 0,21","1,0",,"97,73","5,00",2002-09
48,46 NORDEABP,"0,66",x,,"201 49 0,20",---,,"306,70","16,93",2002-09
49,47 ORFE,"1,11","8,8",,"200 49 0,20",---,,"179,30","7,96",2002-09
50,48 FARMACOL,"1,08","6,9",,"197 48 0,20",---,,"183,25","7,80",2002-09
51,49 SOFTBANK,"0,64","8,5",,"188 46 0,19",---,,"293,87","17,41",2002-09
52,50 AMS,"4,74",x,,"184 45 0,18",---,,"38,85","4,22",2002-09
53,51 COMARCH,"1,30","19,8",,"168 41 0,17",---,,"128,63","7,23",2002-09
54,52 KOGENERA,"0,26",x,,"165 40 0,16","4,5",,"623,37","14,90",2002-09
55,53 7BULLS,"8,30",x,,"159 39 0,16",---,,"19,18","12,73",2002-09
56,54 MENNICA,"0,64","62,6",,"156 38 0,16","4,2",,"244,90","6,57",2002-09
57,55 LPP,"2,39","12,7",,"154 38 0,15",---,,"64,70","1,51",2002-09
58,56 ELEKTRIM,"0,04","2,1",,"149 37 0,15",---,,"3 383,77","83,77",2002-09
59,57 COMPENSA,x,x,,"129 32 0,13",---,,"-0,25","10,60",2002-09
60,58 GRUPAONET,"1,26","36,9",,"129 32 0,13",---,,"102,03","6,88",2002-09
61,59 ECHO,"0,56","10,7",,"127 31 0,13",---,,"225,26","3,50",2002-09
62,60 TUEUROPA,"2,31","12,5",,"126 31 0,13",---,,"54,64","7,88",2002-09
63,61 06MAGNA,"0,57","7,2",,"119 29 0,12","8,8",,"210,03","30,06",2002-09
64,62 SANOK,"0,72","12,2",,"115 28 0,12",---,,"159,37","4,53",2002-09
65,63 14ZACH,"0,65","14,7",,"104 25 0,10",---,,"158,79","30,06",2002-09
66,64 13FORTUNA,"0,57","10,0",,"102 25 0,10",---,,"177,26","30,06",2002-09
67,65 ELDORADO,"1,64","15,1",,"101 25 0,10",---,,"61,59","6,64",2002-09
68,66 04PRO,"0,69",x,,"101 25 0,10",---,,"146,25","30,06",2002-09
69,67 MOSTALWAR,"0,68","31,3",,"92 22 0,09",---,,"133,80","10,00",2002-09
70,68 ABG,"1,30","234,3",,"90 22 0,09",---,,"69,35","11,32",2002-09
71,69 KROSNO,"0,76","96,7",,"89 22 0,09","2,8",,"117,19","2,53",2002-09
72,70 01NFI,"0,46","6,1",,"85 21 0,09",---,,"185,93","30,06",2002-09
73,71 AGROS,"0,31",x,,"84 20 0,08",---,,"273,64","11,00",2002-09
74,72 LENTEX,"0,55","23,6",,"83 20 0,08","5,3",,"151,74","6,21",2002-09
75,73 TRASINTUR,"3,19","59,4",,"80 20 0,08",---,,"24,98","2,42",2002-09
76,74 RAFAKO,"0,60","3,6",,"79 19 0,08",---,,"132,72","17,40",2002-09
77,75 POLIGR,"1,20",x,,"78 19 0,08",---,,"65,05","5,30",2002-09
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-10
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-10
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-10
3,1 TPSA,"1,50","278,2",,"19 250 4 838 17,51",---,,"12 868,81","1 400,00",2002-10
4,2 PEKAO,"2,49","18,0",,"15 945 4 007 14,50","4,0",,"6 409,59","165,75",2002-10
5,3 HANDLOWY,"1,54","54,8",,"9 079 2 282 8,26","1,7",,"5 881,84","125,23",2002-10
6,4 PKNORLEN,"1,15","34,6",,"8 067 2 027 7,34","0,6",,"7 034,26","420,18",2002-10
7,5 BANKBPH,"1,45","23,0",,"7 236 1 819 6,58","1,5",,"4 977,55","28,72",2002-10
8,6 BZWBK,"2,17","34,7",,"5 253 1 320 4,78","0,6",,"2 416,48","72,96",2002-10
9,7 INGBSK,"1,87","46,5",,"5 009 1 259 4,56","0,4",,"2 678,82","13,01",2002-10
10,8 ZYWIEC,"1,30","106,3",,"3 945 991 3,59",---,,"3 034,84","11,34",2002-10
11,9 AGORA,"3,00","38,7",,"3 071 772 2,79",---,,"1 023,87","56,76",2002-10
12,10 MILLENNIUM,"1,58","10,7",,"2 709 681 2,46",---,,"1 714,87","849,18",2002-10
13,11 KGHM,"0,64",x,,"2 450 616 2,23",---,,"3 834,75","200,00",2002-10
14,12 KREDYTB,"1,03",x,,"2 159 543 1,96","1,4",,"2 086,71","147,90",2002-10
15,13 BRE,"0,95","30,2",,"1 808 454 1,64","12,7",,"1 911,18","22,97",2002-10
16,14 SWIECIE,"2,31","12,3",,"1 655 416 1,51","5,1",,"717,08","50,00",2002-10
17,15 PROKOM,"2,54","14,1",,"1 609 404 1,46",---,,"633,15","13,46",2002-10
18,16 EFL,"1,55","27,6",,"1 180 296 1,07",---,,"758,71","44,68",2002-10
19,17 WARTA,"1,32","15,5",,"1 000 251 0,91","1,7",,"759,34","8,13",2002-10
20,18 STOMIL,"1,42","9,3",,"939 236 0,85",---,,"662,87","27,22",2002-10
21,19 ORBIS,"0,62","22,1",,"850 214 0,77","2,2",,"1 371,69","46,08",2002-10
22,20 BUDIMEX,"1,29","269,7",,"715 180 0,65",---,,"555,29","25,53",2002-10
23,21 COMPLAND,"3,82","19,3",,"653 164 0,59",---,,"171,21","6,73",2002-10
24,22 DZPOLSKA,"2,98",x,,"601 151 0,55",---,,"201,69","41,00",2002-10
25,23 DEBICA,"1,00","14,2",,"589 148 0,54","0,7",,"586,91","13,80",2002-10
26,24 BOS,"0,92",x,,"523 131 0,48",---,,"565,87","13,20",2002-10
27,25 CERSANIT,"3,83","107,2",,"494 124 0,45",---,,"129,13","11,63",2002-10
28,26 KABLEHOLD,"0,76",x,,"479 120 0,44",---,,"628,96","119,57",2002-10
29,27 KETY,"1,41","125,2",,"455 114 0,41","2,3",,"323,38","10,50",2002-10
30,28 LGPETRO,"1,65",x,,"454 114 0,41",---,,"274,38","22,26",2002-10
31,29 OKOCIM,"1,19","206,6",,"419 105 0,38",---,,"352,10","28,72",2002-10
32,30 FORTISPL,"0,68","12,2",,"344 86 0,31",---,,"509,28","15,08",2002-10
33,31 DBPBC,"1,83","38,2",,"343 86 0,31",---,,"187,02","336,27",2002-10
34,32 PGF,"1,49","24,3",,"339 85 0,31",---,,"227,16","12,24",2002-10
35,33 AMICA,"1,74","20,2",,"321 81 0,29",---,,"184,09","8,74",2002-10
36,34 08OCTAVA,"1,33",x,,"313 79 0,28",---,,"234,93","30,06",2002-10
37,35 JELFA,"0,88","12,3",,"301 76 0,27","5,0",,"343,02","6,80",2002-10
38,36 FORTWRO,"0,69","11,9",,"291 73 0,26",---,,"419,32","50,60",2002-10
39,37 POLIFARBC,"0,79","35,8",,"274 69 0,25",---,,"348,52","45,36",2002-10
40,38 GRAJEWO,"1,13","8,9",,"268 67 0,24",---,,"236,46","5,16",2002-10
41,39 GROCLIN,"2,59","12,2",,"254 64 0,23","0,8",,"97,73","5,00",2002-10
42,40 POLFKUTNO,"2,02","11,4",,"243 61 0,22",---,,"120,73","1,92",2002-10
43,41 NFIEMF,"1,18",x,,"231 58 0,21",---,,"195,95","30,06",2002-10
44,42 NORDEABP,"0,78",x,,"226 57 0,21",---,,"290,12","16,93",2002-10
45,43 JUPITER,"0,64",x,,"219 55 0,20",---,,"341,96","60,11",2002-10
46,44 SOKOLOW,"0,78",x,,"218 55 0,20",---,,"280,42","100,19",2002-10
47,45 LPP,"3,32","17,7",,"215 54 0,20",---,,"64,70","1,51",2002-10
48,46 FARMACOL,"1,16","7,4",,"212 53 0,19",---,,"183,25","7,80",2002-10
49,47 09KWIAT,"0,85",x,,"210 53 0,19",---,,"246,50","30,06",2002-10
50,48 MITEX,"1,48","7,2",,"205 52 0,19",---,,"138,38","20,52",2002-10
51,49 ELEKTRIM,"0,06","2,4",,"194 49 0,18",---,,"3 392,85","83,77",2002-10
52,50 SOFTBANK,"0,64","8,4",,"188 47 0,17",---,,"293,90","17,41",2002-10
53,51 COMARCH,"1,44","28,6",,"186 47 0,17",---,,"129,61","7,23",2002-10
54,52 AMS,"6,18",x,,"183 46 0,17",---,,"29,56","4,22",2002-10
55,53 ORFE,"0,95","7,6",,"171 43 0,16",---,,"179,30","7,96",2002-10
56,54 KOGENERA,"0,25",x,,"153 39 0,14","4,9",,"623,37","14,90",2002-10
57,55 MENNICA,"0,62","61,0",,"152 38 0,14","4,3",,"244,90","6,57",2002-10
58,56 COMPENSA,x,x,,"148 37 0,13",---,,"-0,25","10,60",2002-10
59,57 7BULLS,"6,97",x,,"134 34 0,12",---,,"19,18","12,73",2002-10
60,58 GRUPAONET,"1,30","55,3",,"131 33 0,12",---,,"100,90","6,88",2002-10
61,59 TUEUROPA,"2,36","12,7",,"129 32 0,12",---,,"54,64","7,88",2002-10
62,60 NETIA,x,x,,"121 30 0,11",---,,"-216,69","31,42",2002-10
63,61 ECHO,"0,53","10,3",,"120 30 0,11",---,,"225,00","3,50",2002-10
64,62 06MAGNA,"0,58","12,9",,"118 30 0,11",---,,"202,63","30,06",2002-10
65,63 SANOK,"0,69","10,0",,"115 29 0,10",---,,"164,86","4,53",2002-10
66,64 POLAR,"1,56",x,,"97 24 0,09",---,,"62,32","14,30",2002-10
67,65 04PRO,"0,64",x,,"94 24 0,09",---,,"146,25","30,06",2002-10
68,66 13FORTUNA,"0,52","9,2",,"93 23 0,08",---,,"177,26","30,06",2002-10
69,67 ABG,"1,30","134,9",,"91 23 0,08",---,,"69,64","11,32",2002-10
70,68 14ZACH,"0,57","12,8",,"90 23 0,08",---,,"158,79","30,06",2002-10
71,69 ELDORADO,"1,45","13,4",,"90 23 0,08",---,,"61,59","6,64",2002-10
72,70 KROSNO,"0,76","97,3",,"89 22 0,08","2,8",,"117,19","2,53",2002-10
73,71 LENTEX,"0,56","24,3",,"85 21 0,08","5,2",,"151,74","6,21",2002-10
74,72 01NFI,"0,46","6,1",,"85 21 0,08",---,,"185,93","30,06",2002-10
75,73 MOSTALWAR,"0,65","27,6",,"85 21 0,08",---,,"130,65","10,00",2002-10
76,74 AGROS,"0,33",x,,"84 21 0,08",---,,"255,28","11,00",2002-10
77,75 IMPEXMET,"0,22","13,3",,"80 20 0,07",---,,"366,11","10,63",2002-10
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-11
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-11
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-11
3,1 TPSA,"1,49","387,9",,"19 600 4 924 17,27",---,,"13 166,43","1 400,00",2002-11
4,2 PEKAO,"2,38","19,8",,"16 144 4 055 14,22","3,9",,"6 794,50","165,75",2002-11
5,3 HANDLOWY,"1,58","49,4",,"9 417 2 366 8,30","1,7",,"5 959,09","125,23",2002-11
6,4 PKNORLEN,"1,09","27,8",,"7 857 1 974 6,92","0,6",,"7 208,79","420,18",2002-11
7,5 BANKBPH,"1,57","24,9",,"7 840 1 969 6,91","1,4",,"4 993,87","28,72",2002-11
8,6 BZWBK,"2,22","27,8",,"5 516 1 386 4,86","0,6",,"2 488,96","72,96",2002-11
9,7 INGBSK,"1,85","51,8",,"5 048 1 268 4,45","0,4",,"2 729,21","13,01",2002-11
10,8 ZYWIEC,"1,35","54,5",,"4 137 1 039 3,64",---,,"3 064,44","11,34",2002-11
11,9 AGORA,"3,00","48,5",,"3 093 777 2,72",---,,"1 029,44","56,76",2002-11
12,10 KGHM,"0,72",x,,"2 820 708 2,48",---,,"3 915,60","200,00",2002-11
13,11 MILLENNIUM,"1,56","10,6",,"2 675 672 2,36",---,,"1 714,87","849,18",2002-11
14,12 KREDYTB,"1,22",x,,"2 226 559 1,96","1,3",,"1 831,32","147,90",2002-11
15,13 BRE,"1,09","69,1",,"2 019 507 1,78","11,4",,"1 847,93","22,97",2002-11
16,14 PROKOM,"2,70","14,5",,"1 716 431 1,51",---,,"635,40","13,46",2002-11
17,15 SWIECIE,"2,38","12,7",,"1 705 428 1,50","4,9",,"717,08","50,00",2002-11
18,16 EFL,"1,87","20,6",,"1 403 352 1,24",---,,"750,24","44,68",2002-11
19,17 STOMIL,"1,55","10,2",,"1 026 258 0,90",---,,"662,87","27,22",2002-11
20,18 WARTA,"1,26","13,5",,"983 247 0,87","1,8",,"778,22","8,13",2002-11
21,19 ORBIS,"0,60","27,9",,"841 211 0,74","2,2",,"1 400,04","46,08",2002-11
22,20 BUDIMEX,"1,39","181,9",,"779 196 0,69",---,,"558,77","25,53",2002-11
23,21 DEBICA,"1,09","12,7",,"665 167 0,59","0,6",,"610,99","13,80",2002-11
24,22 COMPLAND,"3,48","21,4",,"607 152 0,53",---,,"174,52","6,73",2002-11
25,23 KABLEHOLD,"0,92",x,,"589 148 0,52",---,,"638,71","119,57",2002-11
26,24 DZPOLSKA,"2,91",x,,"574 144 0,51",---,,"197,28","41,00",2002-11
27,25 BOS,"0,96",x,,"544 137 0,48",---,,"565,87","13,20",2002-11
28,26 KETY,"2,03","93,6",,"530 133 0,47","2,0",,"261,20","10,50",2002-11
29,27 CERSANIT,"3,68","166,8",,"483 121 0,43",---,,"131,12","11,63",2002-11
30,28 LGPETRO,"1,68",x,,"458 115 0,40",---,,"273,08","22,26",2002-11
31,29 OKOCIM,"0,85","100,9",,"395 99 0,35",---,,"463,70","28,72",2002-11
32,30 DBPBC,"2,07","43,0",,"387 97 0,34",---,,"187,02","336,27",2002-11
33,31 ECHO,"1,66","31,6",,"377 95 0,33",---,,"226,95","10,50",2002-11
34,32 PGF,"1,52","22,2",,"356 89 0,31",---,,"233,58","12,24",2002-11
35,33 FORTISPL,"0,64","11,3",,"332 83 0,29",---,,"516,73","15,08",2002-11
36,34 JELFA,"0,94","13,8",,"331 83 0,29","4,5",,"351,68","6,80",2002-11
37,35 POLIFARBC,"0,90","34,3",,"324 81 0,29",---,,"359,33","45,36",2002-11
38,36 AMICA,"1,67","23,6",,"315 79 0,28",---,,"189,18","8,74",2002-11
39,37 MITEX,"2,10","10,8",,"307 77 0,27",---,,"145,82","20,52",2002-11
40,38 08OCTAVA,"1,32",x,,"307 77 0,27",---,,"231,63","30,06",2002-11
41,39 GRAJEWO,"1,20","10,4",,"294 74 0,26",---,,"245,67","5,16",2002-11
42,40 FORTWRO,"0,71","11,8",,"293 74 0,26",---,,"412,44","50,60",2002-11
43,41 GROCLIN,"2,74","12,0",,"285 72 0,25","0,7",,"104,19","5,00",2002-11
44,42 POLFKUTNO,"2,03","11,8",,"259 65 0,23",---,,"127,45","1,92",2002-11
45,43 NFIEMF,"1,23",x,,"242 61 0,21",---,,"196,25","30,06",2002-11
46,44 FARMACOL,"1,24","7,7",,"234 59 0,21",---,,"189,33","7,80",2002-11
47,45 LPP,"3,28","15,2",,"227 57 0,20",---,,"69,17","1,51",2002-11
48,46 JUPITER,"0,70",x,,"222 56 0,20",---,,"317,35","60,11",2002-11
49,47 SOKOLOW,"0,77",x,,"216 54 0,19",---,,"281,13","100,19",2002-11
50,48 COMARCH,"1,61","32,9",,"213 54 0,19",---,,"132,37","7,23",2002-11
51,49 NORDEABP,"0,69",x,,"201 51 0,18",---,,"290,99","16,93",2002-11
52,50 ELEKTRIM,"0,06",x,,"199 50 0,17",---,,"3 261,30","83,77",2002-11
53,51 09KWIAT,"0,78",x,,"191 48 0,17",---,,"243,26","30,06",2002-11
54,52 SOFTBANK,"1,45",x,,"185 46 0,16",---,,"126,91","17,41",2002-11
55,53 ORFE,"0,94","7,1",,"174 44 0,15",---,,"185,08","7,96",2002-11
56,54 AMS,"14,39",x,,"169 42 0,15",---,,"11,75","4,22",2002-11
57,55 KOGENERA,"0,27",x,,"161 40 0,14","4,6",,"595,30","14,90",2002-11
58,56 MENNICA,"0,60","63,2",,"148 37 0,13","4,4",,"247,37","6,57",2002-11
59,57 GRUPAONET,"1,30","54,9",,"130 33 0,11",---,,"100,36","6,88",2002-11
60,58 TUEUROPA,"2,25","13,9",,"128 32 0,11",---,,"56,69","7,88",2002-11
61,59 7BULLS,"6,61",x,,"127 32 0,11",---,,"19,25","12,73",2002-11
62,60 SANOK,"0,77","11,1",,"126 32 0,11",---,,"164,86","4,53",2002-11
63,61 06MAGNA,"0,57","8,2",,"120 30 0,11",---,,"210,62","30,06",2002-11
64,62 NETIA,x,x,,"116 29 0,10",---,,"-282,39","31,42",2002-11
65,63 EMAX,"5,70","22,3",,"114 29 0,10",---,,"19,99","2,90",2002-11
66,64 LENTEX,"0,65","21,5",,"101 25 0,09","4,4",,"154,78","6,21",2002-11
67,65 13FORTUNA,"0,62","111,1",,"101 25 0,09",---,,"161,63","30,06",2002-11
68,66 14ZACH,"0,61","16,5",,"95 24 0,08",---,,"156,82","30,06",2002-11
69,67 MOSTALWAR,"0,71","12,1",,"95 24 0,08",---,,"133,20","10,00",2002-11
70,68 04PRO,"0,66",x,,"93 23 0,08",---,,"142,55","30,06",2002-11
71,69 ELDORADO,"1,41","10,9",,"92 23 0,08",---,,"64,71","6,64",2002-11
72,70 KROSNO,"0,75","14,9",,"91 23 0,08","2,8",,"120,28","2,53",2002-11
73,71 01NFI,"0,51","88,7",,"90 23 0,08",---,,"175,88","30,06",2002-11
74,72 ABG,"1,23","12,9",,"87 22 0,08",---,,"70,29","11,32",2002-11
75,73 BORYSZEW,"1,23","6,3",,"83 21 0,07","4,7",,"67,58","11,22",2002-11
76,74 TRASINTUR,"3,30","54,9",,"82 21 0,07",---,,"24,88","2,42",2002-11
77,75 IMPEXMET,"0,22","8,2",,"80 20 0,07",---,,"370,36","10,63",2002-11
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-12
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-12
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-12
3,1 TPSA,"1,36","353,3",,"17 850 4 440 16,14",---,,"13 166,43","1 400,00",2002-12
4,2 PEKAO,"2,31","19,2",,"15 663 3 896 14,17","4,0",,"6 794,50","165,75",2002-12
5,3 HANDLOWY,"1,57","48,9",,"9 329 2 321 8,44","1,7",,"5 959,09","125,23",2002-12
6,4 BANKBPH,"1,56","24,8",,"7 796 1 939 7,05","1,4",,"4 993,87","28,72",2002-12
7,5 PKNORLEN,"1,03","26,3",,"7 437 1 850 6,73","0,7",,"7 208,79","420,18",2002-12
8,6 BZWBK,"2,06","25,8",,"5 129 1 276 4,64","0,6",,"2 488,96","72,96",2002-12
9,7 INGBSK,"1,83","51,2",,"4 983 1 239 4,51","0,4",,"2 729,21","13,01",2002-12
10,8 ZYWIEC,"1,44","58,2",,"4 421 1 100 4,00",---,,"3 064,44","11,34",2002-12
11,9 MILLENNIUM,"1,63","11,1",,"2 802 697 2,53",---,,"1 714,87","849,18",2002-12
12,10 AGORA,"2,71","43,7",,"2 787 693 2,52",---,,"1 029,44","56,76",2002-12
13,11 KGHM,"0,69",x,,"2 700 672 2,44",---,,"3 915,60","200,00",2002-12
14,12 KREDYTB,"1,22",x,,"2 226 554 2,01","1,3",,"1 831,32","147,90",2002-12
15,13 BRE,"1,09","69,2",,"2 021 503 1,83","11,4",,"1 847,93","22,97",2002-12
16,14 SWIECIE,"2,57","13,7",,"1 845 459 1,67","4,6",,"717,08","50,00",2002-12
17,15 PROKOM,"2,71","14,5",,"1 719 428 1,55",---,,"635,40","13,53",2002-12
18,16 EFL,"1,76","19,3",,"1 318 328 1,19",---,,"750,24","44,68",2002-12
19,17 STOMIL,"1,60","10,6",,"1 062 264 0,96",---,,"662,87","27,22",2002-12
20,18 WARTA,"1,25","13,4",,"975 243 0,88","1,8",,"778,22","8,13",2002-12
21,19 ORBIS,"0,56","25,8",,"779 194 0,70","2,4",,"1 400,04","46,08",2002-12
22,20 BUDIMEX,"1,36","177,7",,"761 189 0,69",---,,"558,77","25,53",2002-12
23,21 BOS,"1,19",x,,"672 167 0,61",---,,"565,87","13,20",2002-12
24,22 DEBICA,"1,08","12,7",,"663 165 0,60","0,6",,"610,99","13,80",2002-12
25,23 KABLEHOLD,"0,96",x,,"616 153 0,56",---,,"638,71","119,57",2002-12
26,24 DZPOLSKA,"3,12",x,,"615 153 0,56",---,,"197,28","41,00",2002-12
27,25 COMPLAND,"3,50","21,6",,"612 152 0,55",---,,"174,52","6,73",2002-12
28,26 KETY,"2,04","94,1",,"533 133 0,48","2,0",,"261,20","10,50",2002-12
29,27 CERSANIT,"3,83","173,6",,"503 125 0,45",---,,"131,12","11,63",2002-12
30,28 FORTISPL,"0,87","15,3",,"451 112 0,41",---,,"516,73","15,08",2002-12
31,29 LGPETRO,"1,46",x,,"400 99 0,36",---,,"273,08","22,26",2002-12
32,30 OKOCIM,"0,81","95,4",,"373 93 0,34",---,,"463,70","28,72",2002-12
33,31 ECHO,"1,64","31,2",,"372 92 0,34",---,,"226,95","10,50",2002-12
34,32 DBPBC,"1,94","40,4",,"363 90 0,33",---,,"187,02","336,27",2002-12
35,33 POLIFARBC,"0,99","37,6",,"356 89 0,32",---,,"359,33","45,36",2002-12
36,34 PGF,"1,50","21,8",,"350 87 0,32",---,,"233,58","12,24",2002-12
37,35 JELFA,"0,90","13,1",,"316 79 0,29","4,7",,"351,68","6,80",2002-12
38,36 AMICA,"1,62","22,9",,"306 76 0,28",---,,"189,18","8,74",2002-12
39,37 POLFKUTNO,"2,39","13,9",,"305 76 0,28",---,,"127,45","1,92",2002-12
40,38 08OCTAVA,"1,29",x,,"299 74 0,27",---,,"231,63","30,06",2002-12
41,39 GROCLIN,"2,84","12,5",,"296 74 0,27","0,7",,"104,19","5,00",2002-12
42,40 MITEX,"2,01","10,4",,"293 73 0,27",---,,"145,82","20,52",2002-12
43,41 GRAJEWO,"1,16","10,0",,"284 71 0,26",---,,"245,67","5,16",2002-12
44,42 LPP,"4,10","18,9",,"284 71 0,26",---,,"69,17","1,51",2002-12
45,43 FORTWRO,"0,59","9,8",,"245 61 0,22",---,,"412,44","50,60",2002-12
