,Spółki krajowe według kapitalizacji (na koniec miesiąca) / Domestic shares by market capitalization (eop),Spółki krajowe według kapitalizacji (na koniec okresu) / Domestic shares by market capitalization (eop),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,okres
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-01
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-01
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-01
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-01
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-01
5,(mil.) (PLN mil.),,,,(%),,2008-01
6,"1 PEKAO 262,10 50 822 14 016 11,56 8 684,37",,"24,60","5,85","3,0",,2008-01
7,"2 PKOBP 1 000,00 44 700 12 328 10,17 11 091,30",,"17,10","4,03","2,2",,2008-01
8,"3 TPSA 1 400,00 32 060 8 842 7,29 17 117,00",,"15,70","1,87","6,1",,2008-01
9,"4 PGNIG 5 900,00 25 783 7 111 5,86 21 482,64",,"13,70","1,20","3,9",,2008-01
10,"5 KGHM 200,00 18 050 4 978 4,11 8 486,49",,"5,00","2,13","18,8",,2008-01
11,"6 PKNORLEN 427,71 17 211 4 747 3,91 19 916,10",,"11,60","0,86","0,0",,2008-01
12,"7 BZWBK 72,96 13 571 3 743 3,09 4 215,57",,"14,30","3,22","3,2",,2008-01
13,"8 HANDLOWY 130,66 11 759 3 243 2,67 5 432,50",,"14,90","2,16","4,6",,2008-01
14,"9 BRE 29,65 10 911 3 009 2,48 3 181,93",,"16,00","3,43","0,0",,2008-01
15,"10 GETIN 709,79 8 517 2 349 1,94 3 013,07",,"15,40","2,83","0,0",,2008-01
16,"11 GTC 219,37 7 900 2 179 1,80 3 402,36",,"11,00","2,32","0,0",,2008-01
17,"12 INGBSK 13,01 7 852 2 165 1,79 3 820,34",,"12,40","2,06","4,6",,2008-01
18,"13 TVN 347,91 7 633 2 105 1,74 1 281,56",,"32,40","5,96","1,7",,2008-01
19,"14 MILLENNIUM 849,18 6 624 1 827 1,51 2 519,93",,"14,30","2,63","2,2",,2008-01
20,"15 ZYWIEC 10,74 6 553 1 807 1,49 982,03",,"15,90","6,67","5,1",,2008-01
21,"16 KREDYTB 271,66 5 542 1 528 1,26 2 220,42",,"15,30","2,50","1,8",,2008-01
22,"17 STALPROD 6,73 4 977 1 372 1,13 753,53",,"14,70","6,60","1,3",,2008-01
23,"18 LOTOS 113,70 4 376 1 207 1,00 5 583,07",,"6,90","0,78","0,9",,2008-01
24,"19 CERSANIT 132,95 3 915 1 080 0,89 849,61",,"30,30","4,61","0,0",,2008-01
25,"20 PBG 13,43 3 842 1 060 0,87 718,49",,"43,10","5,35","0,0",,2008-01
26,"21 LPP 1,70 3 492 963 0,79 354,27",,"27,20","9,86","0,0",,2008-01
27,"22 POLIMEXMS 464,36 3 436 948 0,78 947,16",,"40,20","3,63","0,2",,2008-01
28,"23 ASSECOPOL 51,09 3 418 943 0,78 1 454,99",,"26,10","2,35","0,5",,2008-01
29,"24 BIOTON 2 994,09 3 204 884 0,73 993,50",,"28,40","3,22","0,0",,2008-01
30,"25 FORTISPL 16,77 3 190 880 0,73 1 108,43",,"20,70","2,88","0,0",,2008-01
31,"26 SWIECIE 50,00 2 900 800 0,66 931,48",,"9,70","3,11","9,3",,2008-01
32,"27 CIECH 28,00 2 744 757 0,62 1 281,97",,"11,10","2,14","2,1",,2008-01
33,"28 BANKBPH 28,72 2 715 749 0,62 6 845,73",,"1,60","0,40","38,3",,2008-01
34,"29 ECHO 420,00 2 705 746 0,62 1 463,47",,"8,80","1,85","0,0",,2008-01
35,"30 AGORA 54,98 2 584 713 0,59 1 177,24",,"29,00","2,19","3,2",,2008-01
36,"31 ORBIS 46,08 2 580 712 0,59 1 615,86",,"30,50","1,60","0,6",,2008-01
37,"32 KOPEX 67,63 2 471 681 0,56 1 976,47",,"5,40","1,25","0,0",,2008-01
38,"33 ALCHEMIA 224,98 2 432 671 0,55 550,84",,"21,00","4,42","0,0",,2008-01
39,"34 NOBLEBANK 215,18 2 216 611 0,50 494,55",,"20,70","4,48","0,0",,2008-01
40,"35 BUDIMEX 25,53 2 178 601 0,50 505,91",,"0,00","4,30","0,0",,2008-01
41,"36 POLAQUA 27,50 2 173 599 0,49 591,47",,"59,60","3,67","0,0",,2008-01
42,"37 JWCONSTR 54,70 2 106 581 0,48 443,98",,"20,40","4,74","0,0",,2008-01
43,"38 PULAWY 19,12 2 103 580 0,48 1 294,42",,"13,70","1,62","1,5",,2008-01
44,"39 DZPOLSKA 41,00 2 089 576 0,48 244,82",,"102,20","8,53","0,0",,2008-01
45,"40 DOMDEV 24,56 2 063 569 0,47 652,10",,"10,20","3,16","0,2",,2008-01
46,"41 GRAJEWO 49,62 2 046 564 0,47 618,39",,"20,30","3,31","2,6",,2008-01
47,"42 POLNORD 17,48 2 031 560 0,46 790,74",,"26,60","2,57","0,0",,2008-01
48,"43 EMPERIA 14,77 2 024 558 0,46 435,46",,"29,70","4,65","1,1",,2008-01
49,"44 NFIEMF 102,59 2 010 554 0,46 344,68",,"23,10","5,83","0,0",,2008-01
50,"45 CCC 38,40 1 824 503 0,41 181,60",,"34,70","10,04","2,1",,2008-01
51,"46 PETROLINV 5,87 1 780 491 0,40 421,71",,"0,00","4,22","0,0",,2008-01
52,"47 FAMUR 481,50 1 743 481 0,40 531,28",,"19,70","3,28","0,0",,2008-01
53,"48 PROKOM 13,89 1 632 450 0,37 1 122,64",,"5,20","1,45","0,9",,2008-01
54,"49 NETIA 389,28 1 592 439 0,36 1 824,09",,"0,00","0,87","0,0",,2008-01
55,"50 SYNTHOS 1 323,25 1 509 416 0,34 1 275,52",,"3,00","1,18","0,0",,2008-01
56,"51 MMPPL 157,70 1 487 410 0,34 565,97",,"15,40","2,63","0,0",,2008-01
57,"52 ULMA 5,26 1 393 384 0,32 229,63",,"28,00","6,07","0,0",,2008-01
58,"53 EUROCASH 127,74 1 329 366 0,30 211,59",,"0,00","6,28","2,2",,2008-01
59,"54 IMPEXMET 213,51 1 322 364 0,30 901,46",,"7,70","1,47","1,9",,2008-01
60,"55 RUCH 56,49 1 299 358 0,30 510,23",,"50,00","2,55","1,5",,2008-01
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-02
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-02
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-02
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-02
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-02
5,(mil.) (PLN mil.),,,,(%),,2008-02
6,"1 PEKAO 262,10 46 130 13 104 10,62 14 538,21",,"21,40","3,17","3,3",,2008-02
7,"2 PKOBP 1 000,00 42 000 11 930 9,67 11 920,95",,"14,50","3,52","2,3",,2008-02
8,"3 TPSA 1 368,77 29 853 8 480 6,87 17 760,00",,"13,10","1,68","6,6",,2008-02
9,"4 PGNIG 5 900,00 25 960 7 374 5,98 21 350,17",,"20,70","1,22","3,9",,2008-02
10,"5 KGHM 200,00 21 780 6 187 5,02 8 965,95",,"5,70","2,43","15,6",,2008-02
11,"6 PKNORLEN 427,71 17 066 4 848 3,93 19 916,10",,"11,50","0,86","0,0",,2008-02
12,"7 BZWBK 72,96 12 622 3 585 2,91 4 341,53",,"13,20","2,91","3,5",,2008-02
13,"8 BRE 29,66 12 309 3 497 2,83 3 324,51",,"17,30","3,70","0,0",,2008-02
14,"9 HANDLOWY 130,66 10 466 2 973 2,41 5 605,07",,"12,70","1,87","5,1",,2008-02
15,"10 GETIN 709,79 8 234 2 339 1,90 3 013,07",,"14,90","2,73","0,0",,2008-02
16,"11 TVN 347,91 7 828 2 224 1,80 1 429,76",,"32,20","5,48","1,6",,2008-02
17,"12 GTC 219,37 7 373 2 094 1,70 3 433,96",,"8,70","2,15","0,0",,2008-02
18,"13 INGBSK 13,01 7 142 2 029 1,64 3 838,78",,"11,30","1,86","5,1",,2008-02
19,"14 ZYWIEC 10,74 6 602 1 875 1,52 786,35",,"15,80","8,40","5,0",,2008-02
20,"15 MILLENNIUM 849,18 6 360 1 807 1,46 2 519,93",,"13,80","2,52","2,3",,2008-02
21,"16 KREDYTB 271,66 5 705 1 621 1,31 2 276,30",,"14,60","2,51","1,8",,2008-02
22,"17 STALPROD 6,73 5 326 1 513 1,23 831,72",,"15,20","6,40","1,2",,2008-02
23,"18 PBG 13,43 4 298 1 221 0,99 756,86",,"42,20","5,68","0,0",,2008-02
24,"19 LOTOS 113,70 3 862 1 097 0,89 5 811,70",,"5,10","0,66","1,1",,2008-02
25,"20 LPP 1,70 3 833 1 089 0,88 405,80",,"28,50","9,45","0,0",,2008-02
26,"21 POLIMEXMS 464,36 3 668 1 042 0,84 984,69",,"35,30","3,73","0,2",,2008-02
27,"22 FORTISPL 16,77 3 604 1 024 0,83 1 153,96",,"20,30","3,12","0,0",,2008-02
28,"23 ASSECOPOL 51,09 3 576 1 016 0,82 1 907,34",,"21,90","1,88","0,5",,2008-02
29,"24 CERSANIT 132,95 3 522 1 000 0,81 849,61",,"27,30","4,15","0,0",,2008-02
30,"25 BIOTON 2 994,09 3 114 885 0,72 993,50",,"27,60","3,13","0,0",,2008-02
31,"26 ECHO 420,00 2 814 799 0,65 1 463,47",,"9,20","1,92","0,0",,2008-02
32,"27 ORBIS 46,08 2 654 754 0,61 1 797,48",,"17,30","1,48","0,6",,2008-02
33,"28 SWIECIE 50,00 2 535 720 0,58 981,95",,"10,30","2,58","10,7",,2008-02
34,"29 KOPEX 67,63 2 502 711 0,58 1 976,47",,"5,40","1,27","0,0",,2008-02
35,"30 ALCHEMIA 224,98 2 473 702 0,57 550,84",,"21,40","4,49","0,0",,2008-02
36,"31 BANKBPH 28,72 2 470 702 0,57 1 560,47",,"1,60","1,58","42,1",,2008-02
37,"32 AGORA 54,98 2 408 684 0,55 1 215,68",,"24,00","1,98","3,4",,2008-02
38,"33 PULAWY 19,12 2 408 684 0,55 1 342,86",,"10,60","1,79","1,3",,2008-02
39,"34 CIECH 28,00 2 380 676 0,55 1 281,97",,"9,60","1,86","2,5",,2008-02
40,"35 BUDIMEX 25,53 2 256 641 0,52 536,23",,"149,70","4,21","0,0",,2008-02
41,"36 POLAQUA 27,50 2 254 640 0,52 591,47",,"61,80","3,81","0,0",,2008-02
42,"37 EMPERIA 14,99 2 204 626 0,51 435,46",,"32,30","5,06","1,0",,2008-02
43,"38 NFIEMF 102,59 2 153 612 0,50 413,88",,"25,60","5,20","0,0",,2008-02
44,"39 NOBLEBANK 215,18 2 120 602 0,49 530,48",,"16,80","4,00","0,0",,2008-02
45,"40 JWCONSTR 54,70 2 079 590 0,48 548,97",,"14,00","3,79","0,0",,2008-02
46,"41 DZPOLSKA 41,00 2 060 585 0,47 244,82",,"100,80","8,42","0,0",,2008-02
47,"42 POLNORD 17,48 2 045 581 0,47 790,74",,"26,80","2,59","0,0",,2008-02
48,"43 DOMDEV 24,56 2 014 572 0,46 696,14",,"10,00","2,89","0,2",,2008-02
49,"44 FAMUR 481,50 1 859 528 0,43 578,90",,"17,30","3,21","0,0",,2008-02
50,"45 PETROLINV 5,87 1 762 500 0,41 421,71",,"0,00","4,18","0,0",,2008-02
51,"46 PROKOM 13,89 1 721 489 0,40 1 108,29",,"6,60","1,55","0,9",,2008-02
52,"47 GRAJEWO 49,62 1 695 481 0,39 658,97",,"13,50","2,57","3,2",,2008-02
53,"48 CCC 38,40 1 575 447 0,36 200,23",,"28,60","7,87","2,4",,2008-02
54,"49 EUROCASH 129,11 1 575 447 0,36 211,59",,"0,00","7,44","1,9",,2008-02
55,"50 NETIA 389,28 1 549 440 0,36 1 945,00",,"0,00","0,80","0,0",,2008-02
56,"51 SYNTHOS 1 323,25 1 548 440 0,36 1 275,52",,"3,10","1,21","0,0",,2008-02
57,"52 MMPPL 157,70 1 506 428 0,35 578,97",,"25,00","2,60","0,0",,2008-02
58,"53 INTERCARS 11,82 1 442 410 0,33 153,73",,"28,10","9,38","0,3",,2008-02
59,"54 DEBICA 13,80 1 435 408 0,33 639,85",,"25,20","2,24","2,1",,2008-02
60,"55 POLICE 75,00 1 418 403 0,33 776,96",,"0,00","1,82","0,0",,2008-02
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-03
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-03
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-03
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-03
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-03
5,(mil.) (PLN mil.),,,,(%),,2008-03
6,"1 PEKAO 262,15 51 722 14 670 11,65 14 538,21",,"24,00","3,56","2,9",,2008-03
7,"2 PKOBP 1 000,00 45 000 12 763 10,14 11 920,95",,"15,50","3,77","2,2",,2008-03
8,"3 TPSA 1 368,77 30 250 8 580 6,82 17 760,00",,"13,30","1,70","6,5",,2008-03
9,"4 PGNIG 5 900,00 28 851 8 183 6,50 21 350,17",,"23,10","1,35","3,5",,2008-03
10,"5 KGHM 200,00 20 480 5 809 4,61 9 438,71",,"5,20","2,17","16,6",,2008-03
11,"6 PKNORLEN 427,71 16 916 4 798 3,81 19 897,64",,"7,30","0,85","0,0",,2008-03
12,"7 BZWBK 72,96 13 461 3 818 3,03 4 341,53",,"14,10","3,10","3,3",,2008-03
13,"8 HANDLOWY 130,66 11 590 3 287 2,61 5 603,08",,"14,10","2,07","4,6",,2008-03
14,"9 BRE 29,66 10 728 3 043 2,42 3 324,51",,"15,10","3,23","0,0",,2008-03
15,"10 GETIN 709,79 8 830 2 504 1,99 3 104,93",,"14,10","2,84","0,0",,2008-03
16,"11 GTC 219,37 8 220 2 331 1,85 3 433,96",,"9,70","2,39","0,0",,2008-03
17,"12 TVN 348,84 7 988 2 266 1,80 1 429,76",,"32,80","5,59","1,6",,2008-03
18,"13 MILLENNIUM 849,18 7 040 1 997 1,59 2 519,93",,"15,30","2,79","2,1",,2008-03
19,"14 ZYWIEC 10,74 6 940 1 968 1,56 786,35",,"16,60","8,83","4,8",,2008-03
20,"15 INGBSK 13,01 6 895 1 956 1,55 3 838,78",,"10,90","1,80","5,3",,2008-03
21,"16 KREDYTB 271,66 5 977 1 695 1,35 2 276,30",,"15,30","2,63","1,7",,2008-03
22,"17 STALPROD 6,73 5 050 1 432 1,14 831,72",,"14,40","6,07","1,3",,2008-03
23,"18 PBG 13,43 4 298 1 219 0,97 756,86",,"42,20","5,68","0,0",,2008-03
24,"19 LOTOS 113,70 3 980 1 129 0,90 5 811,70",,"5,20","0,68","1,0",,2008-03
25,"20 LPP 1,70 3 833 1 087 0,86 405,80",,"28,50","9,45","0,0",,2008-03
26,"21 POLIMEXMS 464,36 3 715 1 054 0,84 984,69",,"35,80","3,77","0,2",,2008-03
27,"22 ASSECOPOL 51,09 3 709 1 052 0,84 1 907,34",,"22,70","1,94","0,5",,2008-03
28,"23 FORTISPL 16,77 3 515 997 0,79 1 153,96",,"19,80","3,05","0,0",,2008-03
29,"24 CERSANIT 132,95 3 483 988 0,78 857,65",,"28,50","4,06","0,0",,2008-03
30,"25 ECHO 420,00 2 793 792 0,63 1 517,08",,"8,70","1,84","0,0",,2008-03
31,"26 ORBIS 46,08 2 677 759 0,60 1 797,48",,"17,50","1,49","0,6",,2008-03
32,"27 BANKBPH 28,72 2 584 733 0,58 1 560,47",,"1,60","1,66","40,2",,2008-03
33,"28 BIOTON 3 059,79 2 478 703 0,56 895,15",,"57,00","2,77","0,0",,2008-03
34,"29 PULAWY 19,12 2 340 664 0,53 1 342,86",,"10,30","1,74","1,4",,2008-03
35,"30 AGORA 54,98 2 331 661 0,53 1 215,68",,"23,20","1,92","3,5",,2008-03
36,"31 CIECH 28,00 2 324 659 0,52 1 313,40",,"10,00","1,77","2,5",,2008-03
37,"32 ALCHEMIA 224,98 2 308 655 0,52 589,64",,"15,80","3,91","0,0",,2008-03
38,"33 EMPERIA 14,99 2 307 654 0,52 687,87",,"25,70","3,35","1,0",,2008-03
39,"34 NOBLEBANK 215,18 2 197 623 0,50 530,48",,"17,40","4,14","0,0",,2008-03
40,"35 POLAQUA 27,50 2 145 608 0,48 607,62",,"38,50","3,53","0,0",,2008-03
41,"36 SWIECIE 50,00 2 145 608 0,48 981,95",,"8,70","2,18","0,0",,2008-03
42,"37 BUDIMEX 25,53 2 139 607 0,48 536,23",,"142,00","3,99","0,0",,2008-03
43,"38 KOPEX 67,63 2 085 591 0,47 1 974,93",,"4,20","1,06","0,0",,2008-03
44,"39 POLNORD 17,81 2 066 586 0,47 805,60",,"21,40","2,56","0,0",,2008-03
45,"40 NFIEMF 102,86 2 057 583 0,46 413,88",,"24,40","4,97","0,0",,2008-03
46,"41 DZPOLSKA 41,00 1 968 558 0,44 247,08",,"99,90","7,96","0,0",,2008-03
47,"42 DOMDEV 24,56 1 842 522 0,42 696,14",,"9,20","2,65","0,2",,2008-03
48,"43 FAMUR 481,50 1 839 522 0,41 578,90",,"17,20","3,18","0,0",,2008-03
49,"44 JWCONSTR 54,70 1 789 507 0,40 548,97",,"12,10","3,26","0,0",,2008-03
50,"45 PROKOM 13,89 1 778 504 0,40 1 108,29",,"6,90","1,60","0,8",,2008-03
51,"46 CCC 38,40 1 735 492 0,39 200,23",,"31,50","8,67","2,2",,2008-03
52,"47 PETROLINV 5,87 1 726 490 0,39 427,23",,"0,00","4,04","0,0",,2008-03
53,"48 EUROCASH 129,14 1 640 465 0,37 233,40",,"27,80","7,03","1,8",,2008-03
54,"49 INTERCARS 13,70 1 576 447 0,36 167,33",,"26,70","9,42","0,3",,2008-03
55,"50 SYNTHOS 1 323,25 1 456 413 0,33 1 289,78",,"3,00","1,13","0,0",,2008-03
56,"51 GRAJEWO 49,62 1 449 411 0,33 658,97",,"11,60","2,20","3,7",,2008-03
57,"52 NETIA 389,28 1 444 410 0,33 1 728,27",,"0,00","0,84","0,0",,2008-03
58,"53 POLICE 75,00 1 406 399 0,32 940,61",,"6,60","1,50","0,0",,2008-03
59,"54 DEBICA 13,80 1 402 398 0,32 639,85",,"24,60","2,19","2,2",,2008-03
60,"55 MOSTALZAB 149,13 1 379 391 0,31 181,15",,"26,20","7,62","0,0",,2008-03
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-04
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-04
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-04
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-04
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-04
5,(mil.) (PLN mil.),,,,(%),,2008-04
6,"1 PEKAO 262,21 50 607 14 625 11,80 14 538,21",,"23,50","3,48","3,0",,2008-04
7,"2 PKOBP 1 000,00 46 000 13 293 10,73 11 920,95",,"15,80","3,86","2,1",,2008-04
8,"3 TPSA 1 368,77 30 524 8 821 7,12 18 457,00",,"12,50","1,65","6,4",,2008-04
9,"4 PGNIG 5 900,00 24 662 7 127 5,75 21 350,17",,"19,70","1,16","4,1",,2008-04
10,"5 KGHM 200,00 20 520 5 930 4,78 9 453,99",,"5,20","2,17","16,5",,2008-04
11,"6 PKNORLEN 427,71 17 955 5 189 4,19 19 981,94",,"7,40","0,90","0,0",,2008-04
12,"7 BZWBK 72,96 11 856 3 426 2,76 4 341,53",,"12,40","2,73","3,7",,2008-04
13,"8 HANDLOWY 130,66 11 041 3 191 2,57 5 603,08",,"13,40","1,97","4,9",,2008-04
14,"9 BRE 29,66 10 678 3 086 2,49 3 324,51",,"15,00","3,21","0,0",,2008-04
15,"10 GETIN 709,79 8 652 2 500 2,02 3 104,93",,"13,80","2,79","0,0",,2008-04
16,"11 GTC 219,37 8 042 2 324 1,88 3 433,96",,"9,50","2,34","0,0",,2008-04
17,"12 TVN 349,01 7 933 2 292 1,85 1 429,76",,"32,60","5,55","1,6",,2008-04
18,"13 MILLENNIUM 849,18 6 632 1 917 1,55 2 485,56",,"13,10","2,67","2,2",,2008-04
19,"14 INGBSK 13,01 6 485 1 874 1,51 3 838,78",,"10,30","1,69","5,6",,2008-04
20,"15 ZYWIEC 10,74 6 446 1 863 1,50 786,35",,"15,40","8,20","6,0",,2008-04
21,"16 KREDYTB 271,66 5 536 1 600 1,29 2 276,30",,"14,20","2,43","1,8",,2008-04
22,"17 ASSECOPOL 71,29 4 791 1 384 1,12 1 923,07",,"29,80","2,49","0,4",,2008-04
23,"18 STALPROD 6,73 4 573 1 322 1,07 831,72",,"13,10","5,50","1,5",,2008-04
24,"19 PBG 13,43 3 962 1 145 0,92 756,86",,"38,90","5,23","0,0",,2008-04
25,"20 LPP 1,70 3 944 1 140 0,92 405,66",,"29,30","9,72","0,0",,2008-04
26,"21 LOTOS 113,70 3 783 1 093 0,88 5 811,70",,"5,00","0,65","1,1",,2008-04
27,"22 FORTISPL 16,77 3 606 1 042 0,84 1 153,96",,"20,30","3,12","0,0",,2008-04
28,"23 POLIMEXMS 464,36 3 237 935 0,75 984,69",,"31,20","3,29","0,3",,2008-04
29,"24 CERSANIT 132,95 2 990 864 0,70 857,65",,"24,50","3,49","0,0",,2008-04
30,"25 ECHO 420,00 2 797 808 0,65 1 517,08",,"8,70","1,84","0,0",,2008-04
31,"26 PULAWY 19,12 2 733 790 0,64 1 464,68",,"9,80","1,87","1,2",,2008-04
32,"27 ORBIS 46,08 2 649 766 0,62 1 798,48",,"17,20","1,47","0,6",,2008-04
33,"28 BANKBPH 28,72 2 559 739 0,60 1 560,47",,"1,60","1,64","40,6",,2008-04
34,"29 SWIECIE 50,00 2 350 679 0,55 1 041,76",,"10,40","2,26","0,0",,2008-04
35,"30 EMPERIA 14,99 2 270 656 0,53 687,87",,"25,30","3,30","1,0",,2008-04
36,"31 AGORA 54,98 2 235 646 0,52 1 215,68",,"22,30","1,84","3,7",,2008-04
37,"32 CIECH 28,00 2 198 635 0,51 1 313,40",,"9,40","1,67","2,7",,2008-04
38,"33 NOBLEBANK 215,18 2 173 628 0,51 530,48",,"17,20","4,10","0,0",,2008-04
39,"34 NFIEMF 102,86 2 068 597 0,48 406,33",,"24,60","5,09","0,0",,2008-04
40,"35 ALCHEMIA 224,98 2 054 594 0,48 589,64",,"14,00","3,48","0,0",,2008-04
41,"36 DZPOLSKA 41,00 2 050 592 0,48 247,08",,"104,00","8,30","0,0",,2008-04
42,"37 BUDIMEX 25,53 2 009 581 0,47 551,59",,"63,20","3,64","0,0",,2008-04
43,"38 BIOTON 3 059,79 1 989 575 0,46 895,15",,"45,70","2,22","0,0",,2008-04
44,"39 KOPEX 67,63 1 961 567 0,46 1 974,93",,"3,90","0,99","0,0",,2008-04
45,"40 POLAQUA 27,50 1 925 556 0,45 607,62",,"34,50","3,17","0,0",,2008-04
46,"41 POLICE 75,00 1 887 545 0,44 940,61",,"8,90","2,01","0,0",,2008-04
47,"42 FAMUR 481,50 1 830 529 0,43 578,90",,"17,10","3,16","0,0",,2008-04
48,"43 POLNORD 17,81 1 781 515 0,42 805,60",,"18,50","2,21","0,0",,2008-04
49,"44 EUROCASH 129,19 1 699 491 0,40 233,40",,"28,80","7,28","1,7",,2008-04
50,"45 CCC 38,40 1 697 490 0,40 200,23",,"30,80","8,47","2,3",,2008-04
51,"46 DOMDEV 24,56 1 621 468 0,38 696,14",,"8,10","2,33","0,2",,2008-04
52,"47 JWCONSTR 54,70 1 531 442 0,36 548,97",,"10,30","2,79","0,0",,2008-04
53,"48 INTERCARS 13,70 1 511 437 0,35 167,33",,"25,60","9,03","0,3",,2008-04
54,"49 LCCORP 447,56 1 405 406 0,33 897,08",,"13,30","1,57","0,0",,2008-04
55,"50 NETIA 389,28 1 405 406 0,33 1 728,27",,"0,00","0,81","0,0",,2008-04
56,"51 SYNTHOS 1 323,25 1 376 398 0,32 1 289,78",,"2,80","1,07","0,0",,2008-04
57,"52 GRAJEWO 49,62 1 365 394 0,32 658,97",,"10,90","2,07","4,0",,2008-04
58,"53 MOSTALZAB 149,13 1 336 386 0,31 181,15",,"25,30","7,38","0,0",,2008-04
59,"54 MMPPL 157,70 1 323 382 0,31 578,97",,"21,90","2,29","0,0",,2008-04
60,"55 DEBICA 13,80 1 311 379 0,31 659,11",,"23,70","1,99","2,3",,2008-04
61,"56 ULMA 5,26 1 303 377 0,30 241,30",,"25,60","5,40","0,0",,2008-04
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-05
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-05
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-05
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-05
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-05
5,(mil.) (PLN mil.),,,,(%),,2008-05
6,"1 PKOBP 1 000,00 50 350 14 902 11,72 12 847,91",,"15,80","3,92","1,9",,2008-05
7,"2 PEKAO 262,21 49 611 14 683 11,54 15 807,30",,"17,80","3,14","5,1",,2008-05
8,"3 TPSA 1 368,77 28 074 8 309 6,53 18 457,00",,"11,50","1,52","7,3",,2008-05
9,"4 PGNIG 5 900,00 23 954 7 089 5,57 21 779,02",,"26,40","1,10","4,2",,2008-05
10,"5 KGHM 200,00 20 620 6 103 4,80 10 329,86",,"5,10","2,00","16,5",,2008-05
11,"6 PKNORLEN 427,71 17 151 5 076 3,99 20 223,72",,"5,70","0,85","0,0",,2008-05
12,"7 BRE 29,66 12 162 3 600 2,83 3 523,99",,"14,50","3,45","0,0",,2008-05
13,"8 BZWBK 72,96 11 965 3 541 2,78 4 591,19",,"12,80","2,61","1,8",,2008-05
14,"9 HANDLOWY 130,66 11 165 3 304 2,60 5 805,15",,"13,80","1,92","4,8",,2008-05
15,"10 GETIN 709,79 8 801 2 605 2,05 3 219,09",,"13,10","2,73","0,0",,2008-05
16,"11 GTC 219,37 8 226 2 435 1,91 3 466,48",,"8,90","2,37","0,0",,2008-05
17,"12 MILLENNIUM 849,18 7 345 2 174 1,71 2 485,56",,"14,60","2,96","2,2",,2008-05
18,"13 INGBSK 13,01 6 726 1 991 1,57 4 013,73",,"10,60","1,68","2,3",,2008-05
19,"14 TVN 349,97 6 562 1 942 1,53 1 514,29",,"25,30","4,33","0,0",,2008-05
20,"15 ZYWIEC 10,44 6 397 1 893 1,49 840,25",,"15,30","7,61","6,0",,2008-05
21,"16 KREDYTB 271,66 5 352 1 584 1,25 2 306,06",,"13,60","2,32","1,9",,2008-05
22,"17 STALPROD 6,73 4 560 1 349 1,06 922,57",,"12,90","4,94","1,5",,2008-05
23,"18 ASSECOPOL 71,29 4 491 1 329 1,05 1 967,02",,"24,00","2,28","0,4",,2008-05
24,"19 PBG 13,43 4 271 1 264 0,99 767,20",,"40,00","5,57","0,0",,2008-05
25,"20 CYFRPLSAT 268,33 3 856 1 141 0,90 125,15",,"26,50","30,81","0,0",,2008-05
26,"21 LOTOS 113,70 3 808 1 127 0,89 6 080,55",,"3,80","0,63","1,1",,2008-05
27,"22 LPP 1,70 3 782 1 119 0,88 422,24",,"26,70","8,96","0,0",,2008-05
28,"23 POLIMEXMS 464,36 3 060 906 0,71 1 013,91",,"29,00","3,02","0,3",,2008-05
29,"24 FORTISPL 16,77 2 969 879 0,69 1 208,56",,"15,10","2,46","0,0",,2008-05
30,"25 CERSANIT 144,26 2 900 858 0,67 836,77",,"25,70","3,47","0,0",,2008-05
31,"26 ECHO 420,00 2 709 802 0,63 1 532,20",,"9,50","1,77","0,0",,2008-05
