nazwa,kategoria,URL,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
ELEKTRIM,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELEKTRIM.png,232,189,131,77,83,88,69,54,37,49,50,42,44,53,51,57,48,49,48,64,56,55,50,56,88,86,108,145,176,146,146,151,134,126,109,130,130,138,124,120,111,115,123,93,86,0,0,0,0,0,318,247,253,115,131,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEKTROTI,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELEKTROTI.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,27.48,26.8,27.38,25.55,22.55,19.61,18.77,19.72,21.54,23.16,23.49,23.96,26.63,28.91,27.97,31.42,28.56,32.44,35.37,37.68,43.91,44.49,43.54,33.66,40.19,39.5,40.72,35.68,37.45,33.82,36.42,30.1,30.41,28.79,26.79,26.74,35.85,33.81,33.14,34.32,31.65,30.46,28.11,23.52,21.4,18.42,20.94,19.78,21.6,20.78,18.92,11.51,15.79,12.84,11.81,9.7,9.22,8.75,10.83,11.29,11.62,10.95,10.58,9.54,9.3,8.38
ELEMENTAL,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELEMENTAL.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.05,103.83,107.27,91.8,89.34,87.44,80.68,88.94,107.16,106.06,118.49,114.85,126.57,142.16,151.14,150.86,160.0,147.34,159.66,159.05,164.5,167.86,171.91,172.78,148.95,140.79,151.76,146.19,138.1,143.68,154.14,159.29,144.29,147.75,136.34,138.33,148.39,148.88,157.55,147.14,142.95,133.1,127.82,108.0,96.92,83.43,97.28,94.82,90.39,82.01,75.73,39.99,36.7,36.74,58.98,61.12,59.46,52.74,44.5,51.57,56.95,55.35,51.12,49.9,43.53,42.18,42.43
ELKOP,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELKOP.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,4.84,4.79,4.54,4.68,4.69,4.58,6.11,6.31,6.52,5.76,5.19,5.0,5.04,4.05,3.63,4.13,3.66,4.05,3.51,3.68,3.63,3.55,3.45,3.32,3.55,3.74,3.57,4.52,3.99,3.76,3.94,3.98,3.77,3.79,4.99,5.29,7.51,4.83,6.31,6.37,4.66,3.94,3.93,2.52,2.32,2.25,2.03,2.23,2.12,1.92,1.59,1.55,1.81,2.63,2.48,2.21,4.55,2.3,2.29,4.6,1.83,1.68,1.74,1.71,1.61,1.56
ELSTAROIL,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELSTAROIL.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,145,159,200,184,163,183,177,175,181,217,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELZAB,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ELZAB.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,24.83,28.32,32.28,50.22,46.62,47.67,61.67,61.45,61.41,65.18,60.97,60.74,61.37,63.54,72.41,73.26,65.37,60.29,58.96,58.97,57.62,60.55,65.81,61.78,59.23,61.25,58.58,57.08,53.6,54.82,62.24,58.38,60.31,65.37,54.02,58.24,66.54,62.72,60.88,55.6,49.63,48.51,48.47,46.06,40.25,33.77,35.21,36.17,36.5,36.04,39.38,35.12,32.93,29.05,24.04,23.8,22.73,20.12,15.1,14.85,16.39,15.91,16.17,15.04,15.94,14.36
EMAX,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_EMAX.png,0,0,0,0,0,0,0,0,0,0,29,28,27,29,31,52,46,47,62,64,63,69,67,80,81,79,81,77,71,75,74,78,85,77,72,87,81,89,83,78,83,85,86,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMCINSMED,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_EMCINSMED.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,33.35,46.71,47.77,48.46,46.94,46.76,42.51,43.18,42.05,48.29,42.77,42.53,46.09,46.27,47.05,46.42,41.46,49.38,47.03,46.92,46.44,46.24,46.03,40.27,44.01,45.75,43.31,33.02,35.99,39.69,33.0,36.97,36.76,30.77,29.43,36.23,35.7,34.6,33.05,32.91,32.47,30.6,31.08,30.74,30.54,30.48,31.02,33.3,27.03,26.99,28.8,27.22,24.67,25.15,22.58,22.39,22.08,20.75,21.33,20.95,19.87,20.23,18.73,19.66,15.94,15.48
EMPERIA,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_EMPERIA.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,571,488,548,517,621,661,668,558,626,654,656,557,523,420,366,341,188,213,186,187,162,147,162,183,188,223,284,241,234,299,300,316,315,299,310,326,316,315,316,375,371,356,402,411,433,425,433,420,420,392,383,335,393,387,383,411,405,392,396,167,179,151,150,171,197,185,215,211,196,208,200,211,206,230,252,256,0,0,273,253.3,261.16,224.66,241.16,226.98,217.96,217.07,191.95,175.95,173.3,174.07,173.13,195.35,194.45,238.28,208.65,229.62,210.73,231.8,214.97,199.85,217.22,214.18,213.4,199.77,211.11,170.86,160.42,158.83,154.48,166.61,192.38,202.99,182.53,183.53,181.34,195.21,203.03,219.36,225.65,263.18,248.21,246.0,268.6,269.23,266.6,289.04,294.73,294.51,299.84,293.21,290.1,285.16,282.4,287.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAP,inny,http://www.miroslawmamczur.pl/wp-content/uploads/2019/08/logo_ENAP.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,5.29,5.18,5.15,5.22,5.0,4.51,4.36,4.6,5.0,5.46,4.68,4.85,5.02,4.99,4.71,4.65,4.72,4.57,4.2,4.15,4.26,3.93,4.28,4.09,4.26,4.35,4.3,4.69,4.38,4.66,4.91,4.58,4.57,4.5,4.42,4.75,4.77,4.97,4.93,5.02,4.96,4.93,4.92,5.05,5.31,5.41,5.36,5.63,6.02,6.07,6.01,5.78,5.45,5.04,5.21,4.61,4.77,4.82,5.27,5.38,5.43,5.26,5.23,5.27,5.37,5.32
