,nazwa,okres,mln_EUR
975,STALPROD,2009-04,759
976,DZPOLSKA,2009-04,723
977,PBG,2009-04,631
978,SWIECIE,2009-04,597
979,MILLENNIUM,2009-04,519
980,LOTOS,2009-04,438
981,POLIMEXMS,2009-04,417
982,BUDIMEX,2009-04,408
983,LPP,2009-04,402
984,ORBIS,2009-04,389
985,ALCHEMIA,2009-04,376
986,KREDYTB,2009-04,367
987,CERSANIT,2009-04,362
988,PULAWY,2009-04,332
989,NETIA,2009-04,318
990,EUROCASH,2009-04,312
991,CCC,2009-04,311
992,KOPEX,2009-04,289
993,ECHO,2009-04,282
994,HBPOLSKA,2009-04,281
995,BOS,2009-04,258
996,KOGENERA,2009-04,257
997,KRUSZWICA,2009-04,252
998,MOSTALWAR,2009-04,247
999,NORDEABP,2009-04,245
1000,MMPPL,2009-04,243
1001,KOFOLA,2009-04,239
1002,BIOTON,2009-04,238
1003,TUEUROPA,2009-04,230
1004,BANKBPH,2009-04,226
1005,NFIEMF,2009-04,217
1006,CIECH,2009-04,206
1007,AGORA,2009-04,197
1008,DOMDEV,2009-04,190
1009,SYNTHOS,2009-04,190
1010,NOBLEBANK,2009-04,187
1011,MENNICA,2009-04,186
1012,HTLSTREFA,2009-04,179
1013,INTERCARS,2009-04,168
1014,EMPERIA,2009-04,162
1015,TRAKCJA,2009-04,159
1016,DEBICA,2009-04,157
1023,PEKAO,2009-05,6375
1024,PKOBP,2009-05,5607
1025,PGNIG,2009-05,5015
1026,TPSA,2009-05,5003
1027,KGHM,2009-05,3144
1028,PKNORLEN,2009-05,2782
1029,ENEA,2009-05,1680
1030,HANDLOWY,2009-05,1518
1031,BZWBK,2009-05,1352
1032,ZYWIEC,2009-05,1320
1033,BRE,2009-05,979
1034,ASSECOPOL,2009-05,946
1035,GTC,2009-05,925
1036,INGBSK,2009-05,909
1037,GETIN,2009-05,909
1038,CYFRPLSAT,2009-05,853
1039,TVN,2009-05,848
1040,FORTISPL,2009-05,826
1041,STALPROD,2009-05,664
1042,PBG,2009-05,630
1043,SWIECIE,2009-05,528
1044,DZPOLSKA,2009-05,512
1045,LOTOS,2009-05,482
1046,MILLENNIUM,2009-05,459
1047,BUDIMEX,2009-05,401
1048,LPP,2009-05,397
1049,ORBIS,2009-05,372
1050,CERSANIT,2009-05,369
1051,KREDYTB,2009-05,358
1052,POLIMEXMS,2009-05,351
1053,PULAWY,2009-05,347
1054,ALCHEMIA,2009-05,343
1055,CCC,2009-05,313
1056,EUROCASH,2009-05,307
1057,NETIA,2009-05,296
1058,KOPEX,2009-05,286
1059,KRUSZWICA,2009-05,280
1060,KOGENERA,2009-05,280
1061,ECHO,2009-05,277
1062,HBPOLSKA,2009-05,274
1063,SYNTHOS,2009-05,267
1064,MOSTALWAR,2009-05,256
1065,BANKBPH,2009-05,238
1066,BOS,2009-05,236
1067,BIOTON,2009-05,229
1068,KOFOLA,2009-05,228
1069,MMPPL,2009-05,223
1070,NORDEABP,2009-05,219
1071,DOMDEV,2009-05,215
1072,NFIEMF,2009-05,210
1073,TUEUROPA,2009-05,209
1074,MENNICA,2009-05,206
1075,FAMUR,2009-05,202
1076,CIECH,2009-05,202
1077,NOBLEBANK,2009-05,190
1078,MIDAS,2009-05,190
1079,EMPERIA,2009-05,183
1080,AMREST,2009-05,177
1081,DEBICA,2009-05,173
1082,AGORA,2009-05,171
1089,PEKAO,2009-06,6717
1090,PKOBP,2009-06,5705
1091,PGNIG,2009-06,5359
1092,TPSA,2009-06,4593
1093,KGHM,2009-06,3647
1094,PKNORLEN,2009-06,2524
1095,ENEA,2009-06,1717
1096,BZWBK,2009-06,1469
1097,HANDLOWY,2009-06,1462
1098,ZYWIEC,2009-06,1202
1099,BRE,2009-06,1136
1100,GTC,2009-06,1082
1101,INGBSK,2009-06,1020
1102,GETIN,2009-06,1002
1103,ASSECOPOL,2009-06,945
1104,CYFRPLSAT,2009-06,922
1105,TVN,2009-06,785
1106,FORTISPL,2009-06,780
1107,PBG,2009-06,706
1108,STALPROD,2009-06,632
1109,DZPOLSKA,2009-06,561
1110,MILLENNIUM,2009-06,555
1111,SWIECIE,2009-06,537
1112,LOTOS,2009-06,514
1113,LPP,2009-06,459
1114,BUDIMEX,2009-06,411
1115,KREDYTB,2009-06,392
1116,ORBIS,2009-06,388
1117,CERSANIT,2009-06,367
1118,POLIMEXMS,2009-06,359
1119,PULAWY,2009-06,338
1120,CCC,2009-06,335
1121,SYNTHOS,2009-06,320
1122,ALCHEMIA,2009-06,319
1123,NETIA,2009-06,309
1124,EUROCASH,2009-06,308
1125,KOPEX,2009-06,275
1126,KRUSZWICA,2009-06,271
1127,KOGENERA,2009-06,267
1128,MOSTALWAR,2009-06,262
1129,ECHO,2009-06,259
1130,BIOTON,2009-06,259
1131,BANKBPH,2009-06,257
1132,HBPOLSKA,2009-06,252
1133,BOS,2009-06,242
1134,NFIEMF,2009-06,237
1135,MMPPL,2009-06,226
1136,DOMDEV,2009-06,214
1137,FAMUR,2009-06,206
1138,KOFOLA,2009-06,202
1139,NORDEABP,2009-06,195
1140,TUEUROPA,2009-06,192
1141,EMPERIA,2009-06,188
1142,HTLSTREFA,2009-06,186
1143,MENNICA,2009-06,184
1144,NOBLEBANK,2009-06,182
1145,AMREST,2009-06,175
1146,AGORA,2009-06,173
1147,DEBICA,2009-06,167
1148,CIECH,2009-06,166
1155,PEKAO,2009-07,9176
1156,PKOBP,2009-07,8006
1157,PGNIG,2009-07,6311
1158,TPSA,2009-07,4780
1159,KGHM,2009-07,4158
1160,PKNORLEN,2009-07,2924
1161,BZWBK,2009-07,2266
1162,ENEA,2009-07,2173
1163,HANDLOWY,2009-07,1851
1164,INGBSK,2009-07,1548
1165,BRE,2009-07,1377
1166,GTC,2009-07,1371
1167,ZYWIEC,2009-07,1274
1168,GETIN,2009-07,1246
1169,CYFRPLSAT,2009-07,1131
1170,ASSECOPOL,2009-07,1117
1171,TVN,2009-07,1104
1172,FORTISPL,2009-07,847
1173,MILLENNIUM,2009-07,835
1174,STALPROD,2009-07,820
1175,PBG,2009-07,777
1176,LOTOS,2009-07,724
1177,LPP,2009-07,609
1178,DZPOLSKA,2009-07,603
1179,BOGDANKA,2009-07,564
1180,SWIECIE,2009-07,554
1181,KREDYTB,2009-07,537
1182,ORBIS,2009-07,482
1183,POLIMEXMS,2009-07,435
1184,BUDIMEX,2009-07,432
1185,CERSANIT,2009-07,432
1186,CCC,2009-07,415
1187,EUROCASH,2009-07,395
1188,NETIA,2009-07,384
1189,PULAWY,2009-07,379
1190,SYNTHOS,2009-07,378
1191,ALCHEMIA,2009-07,370
1192,ECHO,2009-07,364
1193,BANKBPH,2009-07,356
1194,MOSTALWAR,2009-07,322
1195,KOPEX,2009-07,322
1196,BIOTON,2009-07,321
1197,KRUSZWICA,2009-07,296
1198,KOGENERA,2009-07,290
1199,NFIEMF,2009-07,288
1200,MMPPL,2009-07,280
1201,BOS,2009-07,270
1202,FAMUR,2009-07,263
1203,AGORA,2009-07,244
1204,HBPOLSKA,2009-07,242
1205,TUEUROPA,2009-07,227
1206,CIECH,2009-07,225
1207,EMPERIA,2009-07,223
1208,NOBLEBANK,2009-07,222
1209,INTERCARS,2009-07,218
1210,MOSTALZAB,2009-07,215
1211,DOMDEV,2009-07,213
1212,DEBICA,2009-07,209
1213,FARMACOL,2009-07,209
1214,NORDEABP,2009-07,206
1221,PEKAO,2009-08,9338
1222,PKOBP,2009-08,8610
1223,PGNIG,2009-08,5569
1224,TPSA,2009-08,5245
1225,KGHM,2009-08,4176
1226,PKNORLEN,2009-08,3046
1227,ENEA,2009-08,2529
1228,BZWBK,2009-08,2406
1229,HANDLOWY,2009-08,2024
1230,INGBSK,2009-08,1847
1231,BRE,2009-08,1811
1232,GETIN,2009-08,1543
1233,GTC,2009-08,1362
1234,ZYWIEC,2009-08,1250
1235,ASSECOPOL,2009-08,1186
1236,TVN,2009-08,1186
1237,FORTISPL,2009-08,1101
1238,MILLENNIUM,2009-08,1036
1239,CYFRPLSAT,2009-08,1031
1240,STALPROD,2009-08,1009
1241,LOTOS,2009-08,823
1242,PBG,2009-08,774
1243,KREDYTB,2009-08,716
1244,LPP,2009-08,707
1245,SWIECIE,2009-08,659
1246,BOGDANKA,2009-08,592
1247,CERSANIT,2009-08,581
1248,ORBIS,2009-08,562
1249,DZPOLSKA,2009-08,544
1250,ECHO,2009-08,503
1251,BANKBPH,2009-08,492
1252,POLIMEXMS,2009-08,487
1253,EUROCASH,2009-08,472
1254,BUDIMEX,2009-08,461
1255,CCC,2009-08,431
1256,PULAWY,2009-08,410
1257,NFIEMF,2009-08,402
1258,MOSTALWAR,2009-08,385
1259,ALCHEMIA,2009-08,382
1260,NETIA,2009-08,380
1261,KRUSZWICA,2009-08,372
1262,KOPEX,2009-08,371
1263,SYNTHOS,2009-08,371
1264,BOS,2009-08,345
1265,MMPPL,2009-08,336
1266,BIOTON,2009-08,325
1267,AGORA,2009-08,313
1268,NOBLEBANK,2009-08,302
1269,KOGENERA,2009-08,301
1270,CIECH,2009-08,290
1271,AMREST,2009-08,289
1272,EMPERIA,2009-08,284
1273,DOMDEV,2009-08,274
1274,FAMUR,2009-08,269
1275,POLNORD,2009-08,267
1276,INTERCARS,2009-08,265
1277,TUEUROPA,2009-08,259
1278,HBPOLSKA,2009-08,237
1279,KETY,2009-08,231
1280,NORDEABP,2009-08,222
1287,PEKAO,2009-09,9441
1288,PKOBP,2009-09,7945
1289,PGNIG,2009-09,5030
1290,TPSA,2009-09,4998
1291,KGHM,2009-09,4092
1292,PKNORLEN,2009-09,3013
1293,BZWBK,2009-09,2596
1294,ENEA,2009-09,2436
1295,INGBSK,2009-09,1972
1296,HANDLOWY,2009-09,1962
1297,BRE,2009-09,1688
1298,GETIN,2009-09,1532
1299,GTC,2009-09,1252
1300,ZYWIEC,2009-09,1214
1301,TVN,2009-09,1141
1302,ASSECOPOL,2009-09,1135
1303,FORTISPL,2009-09,1017
1304,CYFRPLSAT,2009-09,946
1305,MILLENNIUM,2009-09,915
1306,STALPROD,2009-09,867
1307,SWIECIE,2009-09,795
1308,LOTOS,2009-09,753
1309,KREDYTB,2009-09,752
1310,PBG,2009-09,711
1311,LPP,2009-09,632
1312,BOGDANKA,2009-09,594
1313,CERSANIT,2009-09,550
1314,ORBIS,2009-09,529
1315,BUDIMEX,2009-09,489
1316,DZPOLSKA,2009-09,453
1317,EUROCASH,2009-09,443
1318,BANKBPH,2009-09,437
1319,POLIMEXMS,2009-09,429
1320,CCC,2009-09,427
1321,ECHO,2009-09,417
1322,ALCHEMIA,2009-09,384
1323,NFIEMF,2009-09,378
1324,SYNTHOS,2009-09,376
1325,NETIA,2009-09,370
1326,MOSTALWAR,2009-09,364
1327,PULAWY,2009-09,353
1328,KOPEX,2009-09,350
1329,KRUSZWICA,2009-09,338
1330,BOS,2009-09,328
1331,MMPPL,2009-09,297
1332,BIOTON,2009-09,289
1333,AGORA,2009-09,286
1334,KOGENERA,2009-09,278
1335,NOBLEBANK,2009-09,272
1336,CIECH,2009-09,271
1337,DOMDEV,2009-09,265
1338,AMREST,2009-09,256
1339,INTERCARS,2009-09,243
1340,EMPERIA,2009-09,241
1341,FARMACOL,2009-09,239
1342,NORDEABP,2009-09,237
1343,FAMUR,2009-09,234
1344,TUEUROPA,2009-09,233
1345,KETY,2009-09,225
1346,KOFOLA,2009-09,216
1353,PEKAO,2009-10,9723
1354,PKOBP,2009-10,8178
1355,TPSA,2009-10,5383
1356,PGNIG,2009-10,4936
1357,KGHM,2009-10,4662
1358,PKNORLEN,2009-10,3075
1359,BZWBK,2009-10,2695
1360,ENEA,2009-10,2060
1361,INGBSK,2009-10,2004
1362,HANDLOWY,2009-10,1971
1363,BRE,2009-10,1907
1364,GETIN,2009-10,1397
1365,GTC,2009-10,1310
1366,ZYWIEC,2009-10,1183
1367,TVN,2009-10,1163
1368,ASSECOPOL,2009-10,1069
1369,FORTISPL,2009-10,1023
1370,MILLENNIUM,2009-10,961
1371,CYFRPLSAT,2009-10,889
1372,STALPROD,2009-10,846
1373,SWIECIE,2009-10,837
1374,LOTOS,2009-10,814
1375,KREDYTB,2009-10,781
1376,PBG,2009-10,765
1377,BOGDANKA,2009-10,605
1378,LPP,2009-10,594
1379,ORBIS,2009-10,500
1380,CERSANIT,2009-10,486
1381,BUDIMEX,2009-10,481
1382,BANKBPH,2009-10,471
1383,EUROCASH,2009-10,449
1384,KOPEX,2009-10,416
1385,ECHO,2009-10,415
1386,POLIMEXMS,2009-10,411
1387,NETIA,2009-10,389
1388,NFIEMF,2009-10,377
1389,DZPOLSKA,2009-10,376
1390,SYNTHOS,2009-10,374
1391,CCC,2009-10,367
1392,ALCHEMIA,2009-10,360
1393,PULAWY,2009-10,342
1394,KRUSZWICA,2009-10,336
1395,MOSTALWAR,2009-10,313
1396,BOS,2009-10,308
1397,KOGENERA,2009-10,269
1398,CIECH,2009-10,257
1399,DOMDEV,2009-10,257
1400,BIOTON,2009-10,255
1401,NOBLEBANK,2009-10,254
1402,MMPPL,2009-10,253
1403,AGORA,2009-10,248
1404,TUEUROPA,2009-10,241
1405,AMREST,2009-10,237
1406,KOFOLA,2009-10,234
1407,INTERCARS,2009-10,234
1408,EMPERIA,2009-10,234
1409,KETY,2009-10,230
1410,FARMACOL,2009-10,229
1411,NORDEABP,2009-10,226
1412,FAMUR,2009-10,224
1419,PEKAO,2009-11,11144
1420,PKOBP,2009-11,9075
1421,PGNIG,2009-11,5369
1422,KGHM,2009-11,5204
1423,TPSA,2009-11,5197
1424,PKNORLEN,2009-11,3211
1425,BZWBK,2009-11,2875
1426,INGBSK,2009-11,2288
1427,HANDLOWY,2009-11,2162
1428,ENEA,2009-11,1950
1429,BRE,2009-11,1648
1430,GETIN,2009-11,1373
1431,GTC,2009-11,1260
1432,ZYWIEC,2009-11,1188
1433,ASSECOPOL,2009-11,1076
1434,STALPROD,2009-11,1039
1435,TVN,2009-11,1024
1436,LOTOS,2009-11,1001
1437,FORTISPL,2009-11,985
1438,MILLENNIUM,2009-11,922
1439,CYFRPLSAT,2009-11,894
1440,SWIECIE,2009-11,860
1441,PBG,2009-11,750
1442,KREDYTB,2009-11,741
1443,LPP,2009-11,646
1444,BOGDANKA,2009-11,582
1445,CERSANIT,2009-11,545
1446,BANKBPH,2009-11,507
1447,BUDIMEX,2009-11,492
1448,EUROCASH,2009-11,482
1449,ORBIS,2009-11,458
1450,ECHO,2009-11,431
1451,CCC,2009-11,420
1452,KOPEX,2009-11,420
1453,POLIMEXMS,2009-11,415
1454,NETIA,2009-11,413
1455,SYNTHOS,2009-11,377
1456,NFIEMF,2009-11,376
1457,ALCHEMIA,2009-11,363
1458,PULAWY,2009-11,332
1459,DZPOLSKA,2009-11,332
1460,MOSTALWAR,2009-11,326
1461,KRUSZWICA,2009-11,325
1462,EMPERIA,2009-11,299
1463,AGORA,2009-11,299
1464,BOS,2009-11,295
1465,KOGENERA,2009-11,276
1466,DOMDEV,2009-11,272
1467,MMPPL,2009-11,267
1468,BIOTON,2009-11,261
1469,CIECH,2009-11,257
1470,KOFOLA,2009-11,256
1471,INTERCARS,2009-11,255
1472,NORDEABP,2009-11,253
1473,KETY,2009-11,252
1474,TUEUROPA,2009-11,251
1475,AMREST,2009-11,241
1476,FAMUR,2009-11,241
1477,FARMACOL,2009-11,232
1478,NOBLEBANK,2009-11,230
1485,PKOBP,2009-12,11562
1486,PEKAO,2009-12,10325
1487,PGE,2009-12,10318
1488,PGNIG,2009-12,5443
1489,KGHM,2009-12,5160
1490,TPSA,2009-12,5160
1491,PKNORLEN,2009-12,3535
1492,BZWBK,2009-12,3380
1493,INGBSK,2009-12,2470
1494,ENEA,2009-12,2300
1495,HANDLOWY,2009-12,2226
1496,BRE,2009-12,1879
1497,GETIN,2009-12,1536
1498,GTC,2009-12,1370
1499,ZYWIEC,2009-12,1200
1500,ASSECOPOL,2009-12,1189
1501,TVN,2009-12,1184
1502,LOTOS,2009-12,1005
1503,MILLENNIUM,2009-12,992
1504,STALPROD,2009-12,972
1505,FORTISPL,2009-12,966
1506,SWIECIE,2009-12,928
1507,CYFRPLSAT,2009-12,888
1508,KREDYTB,2009-12,784
1509,PBG,2009-12,707
1510,LPP,2009-12,677
1511,BOGDANKA,2009-12,588
1512,BANKBPH,2009-12,587
1513,CERSANIT,2009-12,578
1514,EUROCASH,2009-12,512
1515,ORBIS,2009-12,498
1516,KOPEX,2009-12,470
1517,NETIA,2009-12,464
1518,CCC,2009-12,454
1519,BUDIMEX,2009-12,454
1520,POLIMEXMS,2009-12,449
1521,DZPOLSKA,2009-12,431
1522,ECHO,2009-12,426
1523,SYNTHOS,2009-12,374
1524,NFIEMF,2009-12,366
1525,PULAWY,2009-12,363
1526,ALCHEMIA,2009-12,345
1527,KRUSZWICA,2009-12,334
1528,NORDEABP,2009-12,321
1529,EMPERIA,2009-12,300
1530,BOS,2009-12,299
1531,MOSTALWAR,2009-12,296
1532,BIOTON,2009-12,296
1533,KOGENERA,2009-12,285
1534,AMREST,2009-12,283
1535,AGORA,2009-12,278
1536,INTERCARS,2009-12,276
1537,KETY,2009-12,272
1538,GETINOBLE,2009-12,267
1539,MMPPL,2009-12,261
1540,DOMDEV,2009-12,260
1541,CIECH,2009-12,254
1542,KOFOLA,2009-12,254
1543,FAMUR,2009-12,252
1544,TUEUROPA,2009-12,240
1545,MENNICA,2009-12,225
1552,PKOBP,2010-01,12080
1553,PEKAO,2010-01,11045
1554,PGE,2010-01,10053
1555,PGNIG,2010-01,5535
1556,TPSA,2010-01,5344
1557,KGHM,2010-01,4776
1558,PKNORLEN,2010-01,3554
1559,BZWBK,2010-01,3212
1560,HANDLOWY,2010-01,2426
1561,INGBSK,2010-01,2249
1562,ENEA,2010-01,2051
1563,BRE,2010-01,1889
1564,GETIN,2010-01,1614
1565,BANKBPH,2010-01,1527
1566,GTC,2010-01,1296
1567,GETINOBLE,2010-01,1238
1568,ZYWIEC,2010-01,1216
1569,TVN,2010-01,1173
1570,ASSECOPOL,2010-01,1155
1571,CYFRPLSAT,2010-01,997
1572,FORTISPL,2010-01,950
1573,KREDYTB,2010-01,926
1574,SWIECIE,2010-01,911
1575,LOTOS,2010-01,897
1576,MILLENNIUM,2010-01,893
1577,STALPROD,2010-01,800
1578,LPP,2010-01,760
1579,PBG,2010-01,754
1580,BOGDANKA,2010-01,644
1581,EUROCASH,2010-01,572
1582,CCC,2010-01,501
1583,CERSANIT,2010-01,500
1584,POLIMEXMS,2010-01,489
1585,BUDIMEX,2010-01,465
1586,KOPEX,2010-01,458
1587,NETIA,2010-01,441
1588,ORBIS,2010-01,411
1589,SYNTHOS,2010-01,411
1590,ECHO,2010-01,401
1591,PULAWY,2010-01,369
1592,ALCHEMIA,2010-01,362
1593,KRUSZWICA,2010-01,361
1594,DZPOLSKA,2010-01,359
1595,NORDEABP,2010-01,359
1596,NFIEMF,2010-01,358
1597,FAMUR,2010-01,319
1598,EMPERIA,2010-01,316
1599,KOGENERA,2010-01,314
1600,MOSTALWAR,2010-01,312
1601,BOS,2010-01,285
1602,INTERCARS,2010-01,277
1603,MMPPL,2010-01,272
1604,AMREST,2010-01,269
1605,KETY,2010-01,261
1606,AGORA,2010-01,261
1607,BIOTON,2010-01,261
1608,DOMDEV,2010-01,259
1609,KOFOLA,2010-01,259
1610,TUEUROPA,2010-01,242
1611,FARMACOL,2010-01,239
1618,PKOBP,2010-02,11555
1619,PEKAO,2010-02,10383
1620,PGE,2010-02,9528
1621,PGNIG,2010-02,5267
1622,TPSA,2010-02,5199
1623,KGHM,2010-02,4848
1624,PKNORLEN,2010-02,3521
1625,BZWBK,2010-02,3216
1626,HANDLOWY,2010-02,2398
1627,INGBSK,2010-02,2146
1628,ENEA,2010-02,2007
1629,BRE,2010-02,1726
1630,GETIN,2010-02,1618
1631,BANKBPH,2010-02,1416
1632,TVN,2010-02,1303
1633,ZYWIEC,2010-02,1236
1634,GETINOBLE,2010-02,1190
1635,GTC,2010-02,1148
1636,ASSECOPOL,2010-02,1082
1637,CYFRPLSAT,2010-02,972
1638,KREDYTB,2010-02,943
1639,FORTISPL,2010-02,938
1640,SWIECIE,2010-02,905
1641,LOTOS,2010-02,892
1642,MILLENNIUM,2010-02,826
1643,STALPROD,2010-02,819
1644,LPP,2010-02,814
1645,PBG,2010-02,705
1646,BOGDANKA,2010-02,607
1647,EUROCASH,2010-02,561
1648,CCC,2010-02,507
1649,BUDIMEX,2010-02,498
1650,POLIMEXMS,2010-02,492
1651,NETIA,2010-02,465
1652,CERSANIT,2010-02,461
1653,SYNTHOS,2010-02,449
1654,KOPEX,2010-02,424
1655,NORDEABP,2010-02,412
1656,ECHO,2010-02,408
1657,KRUSZWICA,2010-02,393
1658,ORBIS,2010-02,392
1659,NFIEMF,2010-02,383
1660,ALCHEMIA,2010-02,365
1661,DZPOLSKA,2010-02,362
1662,KOGENERA,2010-02,353
1663,MOSTALWAR,2010-02,337
1664,PULAWY,2010-02,334
1665,FAMUR,2010-02,323
1666,MMPPL,2010-02,316
1667,EMPERIA,2010-02,315
1668,AGORA,2010-02,305
1669,DOMDEV,2010-02,292
1670,BOS,2010-02,287
1671,AMREST,2010-02,278
1672,KETY,2010-02,264
1673,INTERCARS,2010-02,264
1674,ARCTIC,2010-02,249
1675,KOFOLA,2010-02,245
1676,BIOTON,2010-02,239
1677,TUEUROPA,2010-02,236
1684,PKOBP,2010-03,12930
1685,PEKAO,2010-03,11275
1686,PGE,2010-03,10348
1687,TPSA,2010-03,5606
1688,PGNIG,2010-03,5591
1689,KGHM,2010-03,5556
1690,PKNORLEN,2010-03,4297
1691,BZWBK,2010-03,3896
1692,HANDLOWY,2010-03,2706
1693,INGBSK,2010-03,2513
1694,ENEA,2010-03,2141
1695,BRE,2010-03,1998
1696,GETIN,2010-03,1983
1697,TVN,2010-03,1588
1698,GETINOBLE,2010-03,1499
1699,GTC,2010-03,1409
1700,MILLENNIUM,2010-03,1373
1701,ZYWIEC,2010-03,1356
1702,BANKBPH,2010-03,1310
1703,ASSECOPOL,2010-03,1141
1704,CYFRPLSAT,2010-03,1084
1705,FORTISPL,2010-03,1081
1706,KREDYTB,2010-03,1041
1707,LOTOS,2010-03,992
1708,SWIECIE,2010-03,971
1709,LPP,2010-03,836
1710,STALPROD,2010-03,822
1711,PBG,2010-03,798
1712,BOGDANKA,2010-03,667
1713,EUROCASH,2010-03,665
1714,BUDIMEX,2010-03,661
1715,POLIMEXMS,2010-03,613
1716,SYNTHOS,2010-03,600
1717,CERSANIT,2010-03,599
1718,CCC,2010-03,552
1719,NETIA,2010-03,512
1720,ECHO,2010-03,478
1721,ORBIS,2010-03,475
1722,KRUSZWICA,2010-03,459
1723,NORDEABP,2010-03,448
1724,KOPEX,2010-03,436
1725,NFIEMF,2010-03,431
1726,ALCHEMIA,2010-03,408
1727,KOGENERA,2010-03,397
1728,MOSTALWAR,2010-03,388
1729,PULAWY,2010-03,376
1730,DZPOLSKA,2010-03,369
1731,AGORA,2010-03,354
1732,DOMDEV,2010-03,352
1733,MMPPL,2010-03,333
1734,BOS,2010-03,328
1735,BIOTON,2010-03,315
1736,FAMUR,2010-03,305
1737,EMPERIA,2010-03,299
1738,AMREST,2010-03,277
1739,KETY,2010-03,274
1740,DEBICA,2010-03,272
1741,FARMACOL,2010-03,267
1742,INTERCARS,2010-03,266
1743,KOFOLA,2010-03,257
1744,ARCTIC,2010-03,256
1751,PKOBP,2010-04,13679
1752,PEKAO,2010-04,11350
1753,PGE,2010-04,9790
1754,KGHM,2010-04,5664
1755,TPSA,2010-04,5494
1756,PGNIG,2010-04,5277
1757,PKNORLEN,2010-04,4287
1758,BZWBK,2010-04,4083
1759,HANDLOWY,2010-04,2712
1760,INGBSK,2010-04,2601
1761,BRE,2010-04,2146
1762,ENEA,2010-04,2066
1763,GETIN,2010-04,1994
1764,TVN,2010-04,1659
1765,MILLENNIUM,2010-04,1511
1766,GETINOBLE,2010-04,1467
1767,BANKBPH,2010-04,1399
1768,ZYWIEC,2010-04,1361
1769,GTC,2010-04,1316
1770,ASSECOPOL,2010-04,1131
1771,LOTOS,2010-04,1098
1772,KREDYTB,2010-04,1093
1773,FORTISPL,2010-04,1020
1774,CYFRPLSAT,2010-04,1016
1775,SWIECIE,2010-04,935
1776,PBG,2010-04,868
1777,LPP,2010-04,830
1778,STALPROD,2010-04,777
1779,EUROCASH,2010-04,754
1780,BUDIMEX,2010-04,646
1781,BOGDANKA,2010-04,636
1782,CERSANIT,2010-04,607
1783,SYNTHOS,2010-04,604
1784,POLIMEXMS,2010-04,576
1785,CCC,2010-04,574
1786,NFIEMF,2010-04,507
1787,ECHO,2010-04,492
1788,NETIA,2010-04,491
1789,ORBIS,2010-04,475
1790,NORDEABP,2010-04,455
1791,KRUSZWICA,2010-04,445
1792,KOGENERA,2010-04,440
1793,KOPEX,2010-04,409
1794,ALCHEMIA,2010-04,390
1795,DOMDEV,2010-04,384
1796,MOSTALWAR,2010-04,374
1797,DZPOLSKA,2010-04,367
1798,MMPPL,2010-04,345
1799,AGORA,2010-04,342
1800,PULAWY,2010-04,328
1801,BOS,2010-04,323
1802,EMPERIA,2010-04,310
1803,FAMUR,2010-04,307
1804,BIOTON,2010-04,298
1805,DEBICA,2010-04,286
1806,KETY,2010-04,279
1807,TUEUROPA,2010-04,266
1808,INTERCARS,2010-04,264
1809,KOFOLA,2010-04,261
1810,FARMACOL,2010-04,255
1817,PKOBP,2010-05,12632
1818,PEKAO,2010-05,10837
1819,PGE,2010-05,8950
1820,PZU,2010-05,7413
1821,TPSA,2010-05,5091
1822,PGNIG,2010-05,4978
1823,KGHM,2010-05,4832
1824,PKNORLEN,2010-05,4039
1825,BZWBK,2010-05,3692
1826,HANDLOWY,2010-05,2426
1827,INGBSK,2010-05,2409
1828,ENEA,2010-05,1983
1829,BRE,2010-05,1861
1830,GETIN,2010-05,1789
1831,TVN,2010-05,1454
1832,MILLENNIUM,2010-05,1410
1833,GETINOBLE,2010-05,1303
1834,GTC,2010-05,1291
1835,ZYWIEC,2010-05,1237
1836,ASSECOPOL,2010-05,1102
1837,BANKBPH,2010-05,1062
1838,KREDYTB,2010-05,1056
1839,LOTOS,2010-05,1015
1840,FORTISPL,2010-05,970
1841,CYFRPLSAT,2010-05,970
1842,SWIECIE,2010-05,814
1843,LPP,2010-05,768
1844,PBG,2010-05,748
1845,STALPROD,2010-05,713
1846,EUROCASH,2010-05,673
1847,BUDIMEX,2010-05,654
1848,BOGDANKA,2010-05,624
1849,SYNTHOS,2010-05,604
1850,CCC,2010-05,538
1851,POLIMEXMS,2010-05,507
1852,CERSANIT,2010-05,501
1853,NETIA,2010-05,469
1854,NFIEMF,2010-05,448
1855,ECHO,2010-05,447
1856,NORDEABP,2010-05,445
1857,ORBIS,2010-05,435
1858,KRUSZWICA,2010-05,423
1859,KOGENERA,2010-05,400
1860,ALCHEMIA,2010-05,374
1861,MOSTALWAR,2010-05,353
1862,KOPEX,2010-05,335
1863,AGORA,2010-05,327
1864,EMPERIA,2010-05,326
1865,MMPPL,2010-05,322
1866,DOMDEV,2010-05,310
1867,DZPOLSKA,2010-05,310
1868,PULAWY,2010-05,304
1869,BOS,2010-05,295
1870,BIOTON,2010-05,272
1871,KOFOLA,2010-05,253
1872,TUEUROPA,2010-05,247
1873,FAMUR,2010-05,247
1874,KETY,2010-05,242
1875,AMREST,2010-05,240
1876,INTERCARS,2010-05,236
1883,PKOBP,2010-06,10990
1884,PEKAO,2010-06,9872
1885,PGE,2010-06,8764
1886,PZU,2010-06,7290
1887,PGNIG,2010-06,4682
1888,TPSA,2010-06,4607
1889,KGHM,2010-06,4274
1890,PKNORLEN,2010-06,3660
1891,BZWBK,2010-06,3416
