,nazwa,okres,mln_EUR
200,GTC,2008-04,2324
201,TVN,2008-04,2292
202,MILLENNIUM,2008-04,1917
203,INGBSK,2008-04,1874
204,ZYWIEC,2008-04,1863
205,KREDYTB,2008-04,1600
206,ASSECOPOL,2008-04,1384
207,STALPROD,2008-04,1322
208,PBG,2008-04,1145
209,LPP,2008-04,1140
210,LOTOS,2008-04,1093
211,FORTISPL,2008-04,1042
212,POLIMEXMS,2008-04,935
213,CERSANIT,2008-04,864
214,ECHO,2008-04,808
215,PULAWY,2008-04,790
216,ORBIS,2008-04,766
217,BANKBPH,2008-04,739
218,SWIECIE,2008-04,679
219,EMPERIA,2008-04,656
220,AGORA,2008-04,646
221,CIECH,2008-04,635
222,NOBLEBANK,2008-04,628
223,NFIEMF,2008-04,597
224,ALCHEMIA,2008-04,594
225,DZPOLSKA,2008-04,592
226,BUDIMEX,2008-04,581
227,BIOTON,2008-04,575
228,KOPEX,2008-04,567
229,POLAQUA,2008-04,556
230,POLICE,2008-04,545
231,FAMUR,2008-04,529
232,POLNORD,2008-04,515
233,EUROCASH,2008-04,491
234,CCC,2008-04,490
235,DOMDEV,2008-04,468
236,JWCONSTR,2008-04,442
237,INTERCARS,2008-04,437
238,LCCORP,2008-04,406
239,NETIA,2008-04,406
240,SYNTHOS,2008-04,398
241,GRAJEWO,2008-04,394
242,MOSTALZAB,2008-04,386
243,MMPPL,2008-04,382
244,DEBICA,2008-04,379
245,ULMA,2008-04,377
252,PKOBP,2008-05,14902
253,PEKAO,2008-05,14683
254,TPSA,2008-05,8309
255,PGNIG,2008-05,7089
256,KGHM,2008-05,6103
257,PKNORLEN,2008-05,5076
258,BRE,2008-05,3600
259,BZWBK,2008-05,3541
260,HANDLOWY,2008-05,3304
261,GETIN,2008-05,2605
262,GTC,2008-05,2435
263,MILLENNIUM,2008-05,2174
264,INGBSK,2008-05,1991
265,TVN,2008-05,1942
266,ZYWIEC,2008-05,1893
267,KREDYTB,2008-05,1584
268,STALPROD,2008-05,1349
269,ASSECOPOL,2008-05,1329
270,PBG,2008-05,1264
271,CYFRPLSAT,2008-05,1141
272,LOTOS,2008-05,1127
273,LPP,2008-05,1119
274,POLIMEXMS,2008-05,906
275,FORTISPL,2008-05,879
276,CERSANIT,2008-05,858
277,ECHO,2008-05,802
278,SWIECIE,2008-05,761
279,PULAWY,2008-05,752
280,ORBIS,2008-05,736
281,KOPEX,2008-05,688
282,BANKBPH,2008-05,680
283,CIECH,2008-05,671
284,NOBLEBANK,2008-05,664
285,BIOTON,2008-05,625
286,BUDIMEX,2008-05,620
287,DZPOLSKA,2008-05,607
288,ALCHEMIA,2008-05,603
289,FAMUR,2008-05,597
290,NFIEMF,2008-05,591
291,AGORA,2008-05,573
292,EMPERIA,2008-05,557
293,POLAQUA,2008-05,553
294,CCC,2008-05,528
295,EUROCASH,2008-05,495
296,POLICE,2008-05,478
297,POLNORD,2008-05,467
298,PETROLINV,2008-05,462
299,INTERCARS,2008-05,454
300,JWCONSTR,2008-05,421
301,DOMDEV,2008-05,421
302,LCCORP,2008-05,416
303,SYNTHOS,2008-05,392
304,BOS,2008-05,383
305,MMPPL,2008-05,383
306,NETIA,2008-05,381
307,MOSTALZAB,2008-05,375
314,PKOBP,2008-06,13672
315,PEKAO,2008-06,12860
316,TPSA,2008-06,8423
317,KGHM,2008-06,5963
318,PGNIG,2008-06,5857
319,PKNORLEN,2008-06,4353
320,BRE,2008-06,3131
321,HANDLOWY,2008-06,3116
322,BZWBK,2008-06,2967
323,GTC,2008-06,1987
324,GETIN,2008-06,1924
325,ZYWIEC,2008-06,1853
326,TVN,2008-06,1826
327,MILLENNIUM,2008-06,1722
328,INGBSK,2008-06,1610
329,KREDYTB,2008-06,1425
330,STALPROD,2008-06,1243
331,ASSECOPOL,2008-06,1212
332,CYFRPLSAT,2008-06,1072
333,PBG,2008-06,1027
334,LPP,2008-06,924
335,LOTOS,2008-06,898
336,CERSANIT,2008-06,880
337,FORTISPL,2008-06,745
338,POLIMEXMS,2008-06,732
339,PULAWY,2008-06,695
340,SWIECIE,2008-06,671
341,ORBIS,2008-06,625
342,BANKBPH,2008-06,616
343,BUDIMEX,2008-06,572
344,FAMUR,2008-06,567
345,CIECH,2008-06,559
346,NFIEMF,2008-06,558
347,AGORA,2008-06,557
348,ECHO,2008-06,545
349,EMPERIA,2008-06,523
350,NOBLEBANK,2008-06,516
351,KOPEX,2008-06,503
352,ALCHEMIA,2008-06,488
353,EUROCASH,2008-06,484
354,POLAQUA,2008-06,476
355,BIOTON,2008-06,474
356,CCC,2008-06,452
357,PETROLINV,2008-06,414
358,POLICE,2008-06,405
359,HBPOLSKA,2008-06,401
360,BOS,2008-06,386
361,DZPOLSKA,2008-06,385
362,POLNORD,2008-06,385
363,INTERCARS,2008-06,384
364,MOSTALWAR,2008-06,358
365,NETIA,2008-06,350
366,NORDEABP,2008-06,339
367,MMPPL,2008-06,338
368,SYNTHOS,2008-06,335
369,KRUSZWICA,2008-06,325
370,DEBICA,2008-06,325
377,PKOBP,2008-07,16393
378,PEKAO,2008-07,15548
379,TPSA,2008-07,9822
380,PGNIG,2008-07,7203
381,KGHM,2008-07,5299
382,PKNORLEN,2008-07,4915
383,BZWBK,2008-07,3707
384,BRE,2008-07,3599
385,HANDLOWY,2008-07,3213
386,GETIN,2008-07,2187
387,GTC,2008-07,2012
388,TVN,2008-07,1998
389,MILLENNIUM,2008-07,1962
390,ZYWIEC,2008-07,1955
391,INGBSK,2008-07,1938
392,KREDYTB,2008-07,1492
393,ASSECOPOL,2008-07,1333
394,STALPROD,2008-07,1239
395,CYFRPLSAT,2008-07,1190
396,PBG,2008-07,1068
397,LOTOS,2008-07,996
398,FORTISPL,2008-07,919
399,POLIMEXMS,2008-07,848
400,LPP,2008-07,831
401,PULAWY,2008-07,711
402,BANKBPH,2008-07,690
403,CERSANIT,2008-07,688
404,ORBIS,2008-07,640
405,NOBLEBANK,2008-07,628
406,BUDIMEX,2008-07,606
407,AGORA,2008-07,595
408,DZPOLSKA,2008-07,563
409,SWIECIE,2008-07,562
410,CIECH,2008-07,542
411,BOS,2008-07,541
412,ALCHEMIA,2008-07,518
413,FAMUR,2008-07,507
414,ECHO,2008-07,490
415,NFIEMF,2008-07,482
416,CCC,2008-07,480
417,KOPEX,2008-07,464
418,POLICE,2008-07,424
419,EMPERIA,2008-07,420
420,POLAQUA,2008-07,412
421,BIOTON,2008-07,411
422,HBPOLSKA,2008-07,401
423,EUROCASH,2008-07,401
424,NETIA,2008-07,377
425,NORDEABP,2008-07,368
426,MMPPL,2008-07,358
427,KRUSZWICA,2008-07,345
428,JWCONSTR,2008-07,344
429,POLNORD,2008-07,336
430,PETROLINV,2008-07,325
431,DEBICA,2008-07,319
432,TUEUROPA,2008-07,319
433,SYNTHOS,2008-07,306
440,PKOBP,2008-08,14644
441,PEKAO,2008-08,14208
442,TPSA,2008-08,9352
443,PGNIG,2008-08,6030
444,KGHM,2008-08,4623
445,PKNORLEN,2008-08,4226
446,BZWBK,2008-08,3829
447,BRE,2008-08,3149
448,HANDLOWY,2008-08,2468
449,GETIN,2008-08,2064
450,INGBSK,2008-08,1907
451,TVN,2008-08,1873
452,ZYWIEC,2008-08,1840
453,MILLENNIUM,2008-08,1761
454,GTC,2008-08,1639
455,ASSECOPOL,2008-08,1321
456,CYFRPLSAT,2008-08,1163
457,KREDYTB,2008-08,1137
458,STALPROD,2008-08,1081
459,FORTISPL,2008-08,1002
460,PBG,2008-08,955
461,LOTOS,2008-08,927
462,ORBIS,2008-08,744
463,POLIMEXMS,2008-08,722
464,LPP,2008-08,715
465,CERSANIT,2008-08,690
466,BUDIMEX,2008-08,662
467,BANKBPH,2008-08,624
468,DZPOLSKA,2008-08,593
469,PULAWY,2008-08,567
470,ECHO,2008-08,565
471,SWIECIE,2008-08,551
472,NOBLEBANK,2008-08,549
473,ALCHEMIA,2008-08,507
474,NFIEMF,2008-08,494
475,AGORA,2008-08,480
476,CCC,2008-08,476
477,CIECH,2008-08,475
478,FAMUR,2008-08,475
479,EUROCASH,2008-08,458
480,KOPEX,2008-08,449
481,POLAQUA,2008-08,411
482,BOS,2008-08,405
483,POLICE,2008-08,397
484,NORDEABP,2008-08,395
485,BIOTON,2008-08,384
486,HBPOLSKA,2008-08,379
487,MMPPL,2008-08,377
488,EMPERIA,2008-08,366
489,SYNTHOS,2008-08,360
490,NETIA,2008-08,348
491,MOSTALWAR,2008-08,329
492,KRUSZWICA,2008-08,322
493,DEBICA,2008-08,307
494,TUEUROPA,2008-08,301
495,JWCONSTR,2008-08,299
496,PETROLINV,2008-08,275
503,PEKAO,2008-09,13148
504,PKOBP,2008-09,12734
505,TPSA,2008-09,9169
506,PGNIG,2008-09,5678
507,PKNORLEN,2008-09,4317
508,BZWBK,2008-09,3265
509,KGHM,2008-09,2931
510,BRE,2008-09,2709
511,HANDLOWY,2008-09,2434
512,INGBSK,2008-09,1951
513,GETIN,2008-09,1874
514,TVN,2008-09,1838
515,ZYWIEC,2008-09,1569
516,MILLENNIUM,2008-09,1567
517,GTC,2008-09,1406
518,ASSECOPOL,2008-09,1295
519,CYFRPLSAT,2008-09,1114
520,KREDYTB,2008-09,1092
521,STALPROD,2008-09,959
522,PBG,2008-09,906
523,LOTOS,2008-09,897
524,ORBIS,2008-09,767
525,LPP,2008-09,758
526,FORTISPL,2008-09,743
